Source	Variety	Block	Resp
1	A	1	2.17
1	B	1	1.58
1	C	1	2.29
1	D	1	2.23
1	A	2	1.88
1	B	2	1.26
1	C	2	1.6
1	D	2	2.01
1	A	3	1.62
1	B	3	1.22
1	C	3	1.67
1	D	3	1.82
1	A	4	2.34
1	B	4	1.59
1	C	4	1.91
1	D	4	2.1
1	A	5	1.58
1	B	5	1.25
1	C	5	1.39
1	D	5	1.66
1	A	6	1.66
1	B	6	0.94
1	C	6	1.12
1	D	6	1.1
2	E	1	2.33
2	F	1	1.38
2	G	1	1.86
2	H	1	2.27
2	E	2	2.01
2	F	2	1.3
2	G	2	1.7
2	H	2	1.81
2	E	3	1.7
2	F	3	1.85
2	G	3	1.81
2	H	3	2.01
2	E	4	1.78
2	F	4	1.09
2	G	4	1.54
2	H	4	1.4
2	E	5	1.42
2	F	5	1.13
2	G	5	1.67
2	H	5	1.31
2	E	6	1.35
2	F	6	1.06
2	G	6	0.88
2	H	6	1.06
3	I	1	1.75
3	J	1	1.52
3	K	1	1.55
3	L	1	1.56
3	I	2	1.95
3	J	2	1.47
3	K	2	1.61
3	L	2	1.72
3	I	3	2.13
3	J	3	1.8
3	K	3	1.82
3	L	3	1.99
3	I	4	1.78
3	J	4	1.37
3	K	4	1.56
3	L	4	1.55
3	I	5	1.31
3	J	5	1.01
3	K	5	1.23
3	L	5	1.51
3	I	6	1.3
3	J	6	1.31
3	K	6	1.13
3	L	6	1.33
