IDSORT	FamilyID	Female	Male	cloneid	Rep	IncBlock	Tree	VOL
1	46	Par927	Par931	677	1	1	1	537.7436
2	33	Par908	Par914	476	1	1	2	492.1155
3	53	Par924	Par907	775	1	1	3	704.826
4	41	Par913	Par917	608	1	1	4	494.6012
6	27	Par923	Par905	391	1	2	1	622.0541
7	14	Par925	Par908	192	1	2	2	425.1107
8	22	Par913	Par923	304	1	2	3	298.8255
9	11	Par929	Par920	144	1	2	4	513.8072
11	23	Par901	Par924	320	1	3	1	457.7191
12	60	Par929	Par904	838	1	3	2	709.3598
15	12	Par917	Par921	162	1	3	5	NA
16	53	Par924	Par907	763	1	4	1	392.4941
17	13	Par901	Par916	179	1	4	2	463.7218
19	24	Par915	Par904	340	1	4	4	445.3584
20	40	Par922	Par917	592	1	4	5	623.984
21	30	Par904	Par903	424	1	5	1	439.2273
24	54	Par919	Par920	784	1	5	4	NA
26	15	Par909	Par914	214	1	6	1	515.4821
27	39	Par912	Par923	566	1	6	2	710.5759
28	23	Par901	Par924	317	1	6	3	470.0798
30	25	Par905	Par927	351	1	6	5	495.8465
31	25	Par905	Par927	347	1	7	1	NA
32	61	Par912	Par904	864	1	7	2	570.9091
33	14	Par925	Par908	189	1	7	3	NA
34	41	Par913	Par917	607	1	7	4	NA
35	30	Par904	Par903	423	1	7	5	600.0362
36	12	Par917	Par921	161	1	8	1	728.516
37	25	Par905	Par927	352	1	8	2	NA
38	48	Par910	Par911	695	1	8	3	573.6203
39	40	Par922	Par917	593	1	8	4	667.28
42	33	Par908	Par914	486	1	9	2	658.6208
43	41	Par913	Par917	609	1	9	3	593.4271
44	24	Par915	Par904	330	1	9	4	817.9367
45	10	Par905	Par930	131	1	9	5	NA
46	61	Par912	Par904	858	1	10	1	NA
47	51	Par905	Par921	743	1	10	2	NA
49	22	Par913	Par923	312	1	10	4	732.626
50	41	Par913	Par917	604	1	10	5	NA
51	11	Par929	Par920	148	1	11	1	495.8977
52	22	Par913	Par923	311	1	11	2	NA
55	31	Par908	Par927	452	1	11	5	578.4151
56	51	Par905	Par921	737	1	11	6	374.0564
57	27	Par923	Par905	380	1	11	7	476.5922
58	14	Par925	Par908	198	1	11	8	240.3934
60	61	Par912	Par904	863	1	11	10	1125.6418
61	31	Par908	Par927	454	1	10	6	480.6806
63	14	Par925	Par908	193	1	10	8	NA
65	3	Par903	Par927	34	1	10	10	897.6902
67	3	Par903	Par927	30	1	9	7	570.9091
68	54	Par919	Par920	781	1	9	8	557.1907
71	60	Par929	Par904	848	1	8	6	704.826
73	1	Par915	Par932	7	1	8	8	710.5759
74	23	Par901	Par924	313	1	8	9	439.2273
75	15	Par909	Par914	206	1	8	10	584.4631
76	27	Par923	Par905	388	1	7	6	NA
77	10	Par905	Par930	125	1	7	7	375.6147
80	46	Par927	Par931	671	1	7	10	NA
81	11	Par929	Par920	154	1	6	6	NA
82	1	Par915	Par932	16	1	6	7	865.1959
83	59	Par914	Par926	829	1	6	8	439.2273
84	52	Par911	Par905	753	1	6	9	NA
85	47	Par928	Par904	684	1	6	10	592.2497
87	24	Par915	Par904	338	1	5	7	675.9392
88	10	Par905	Par930	138	1	5	8	844.109
89	3	Par903	Par927	31	1	5	9	476.5922
92	10	Par905	Par930	126	1	4	7	592.2497
93	45	Par901	Par919	661	1	4	8	NA
94	61	Par912	Par904	860	1	4	9	510.8611
95	33	Par908	Par914	473	1	4	10	632.6432
96	25	Par905	Par927	346	1	3	6	738.0942
97	48	Par910	Par911	696	1	3	7	NA
98	1	Par915	Par932	15	1	3	8	NA
100	40	Par922	Par917	586	1	3	10	618.8052
101	61	Par912	Par904	862	1	2	6	NA
