REP	FAMILY	FEMALE	MALE	YIELD	CHECKLOT
1	FAM007	PAR0001	PAR0024	128.68	0
1	FAM163	PAR0059	PAR0041	119.462	0
1	C10	C10	C10	NA	1
1	FAM040	PAR0020	PAR0053	103.641	0
1	FAM114	PAR0051	PAR0001	NA	0
1	FAM053	PAR0032	PAR0032	NA	0
1	FAM048	PAR0031	PAR0018	NA	0
1	FAM057	PAR0033	PAR0035	155.226	0
1	FAM120	PAR0051	PAR0051	NA	0
1	FAM165	PAR0059	PAR0059	193.982	0
1	FAM133	PAR0053	PAR0009	184.308	0
1	FAM057	PAR0035	PAR0033	NA	0
1	C30	C30	C30	141.912	1
1	FAM082	PAR0044	PAR0006	288.692	0
1	FAM060	PAR0034	PAR0037	NA	0
1	FAM169	PAR0015	PAR0024	245.664	0
1	FAM047	PAR0031	PAR0016	NA	0
1	FAM073	PAR0038	PAR0048	261.687	0
1	FAM074	PAR0038	PAR0050	118.295	0
1	FAM090	PAR0046	PAR0001	NA	0
1	FAM013	PAR0002	PAR0038	NA	0
1	FAM083	PAR0044	PAR0026	233.263	0
1	FAM014	PAR0002	PAR0048	NA	0
1	FAM129	PAR0052	PAR0047	161.32	0
1	FAM026	PAR0006	PAR0022	NA	0
1	FAM064	PAR0035	PAR0061	203.902	0
1	FAM105	PAR0048	PAR0050	111.971	0
1	FAM152	PAR0059	PAR0056	NA	0
1	FAM031	PAR0009	PAR0030	137.101	0
1	FAM125	PAR0052	PAR0022	NA	0
1	FAM108	PAR0049	PAR0047	NA	0
1	FAM126	PAR0052	PAR0023	189.144	0
1	FAM011	PAR0002	PAR0021	NA	0
1	FAM062	PAR0034	PAR0061	216.504	0
1	FAM080	PAR0044	PAR0003	NA	0
1	FAM067	PAR0036	PAR0055	173.252	0
1	FAM076	PAR0039	PAR0027	143.351	0
1	FAM036	PAR0013	PAR0021	304.394	0
1	FAM151	PAR0056	PAR0056	123.318	0
1	FAM009	PAR0001	PAR0061	NA	0
1	FAM160	PAR0059	PAR0009	215.642	0
1	FAM161	PAR0059	PAR0021	222.621	0
1	FAM066	PAR0036	PAR0049	NA	0
1	FAM005	PAR0004	PAR0001	239.823	0
1	FAM041	PAR0026	PAR0022	319.005	0
1	FAM137	PAR0053	PAR0059	202.744	0
1	C4	C4	C4	NA	1
1	FAM022	PAR0004	PAR0024	194.909	0
1	FAM068	PAR0036	PAR0060	220.669	0
1	FAM049	PAR0031	PAR0031	NA	0
1	FAM075	PAR0038	PAR0057	NA	0
1	FAM101	PAR0047	PAR0026	127.091	0
1	FAM037	PAR0039	PAR0019	NA	0
1	FAM033	PAR0011	PAR0020	NA	0
1	FAM088	PAR0045	PAR0051	NA	0
1	FAM098	PAR0047	PAR0006	179.465	0
1	FAM171	PAR0064	PAR0014	NA	0
1	FAM153	PAR0058	PAR0001	244.33	0
1	FAM004	PAR0001	PAR0001	NA	0
1	FAM092	PAR0046	PAR0020	242.018	0
1	FAM054	PAR0032	PAR0052	NA	0
1	FAM097	PAR0047	PAR0005	305.576	0
1	FAM123	PAR0052	PAR0005	NA	0
1	FAM055	PAR0032	PAR0061	NA	0
1	FAM157	PAR0059	PAR0002	194.95	0
1	FAM072	PAR0038	PAR0038	NA	0
1	FAM145	PAR0054	PAR0061	306.205	0
1	FAM111	PAR0049	PAR0060	198.968	0
1	FAM109	PAR0049	PAR0049	NA	0
1	FAM096	PAR0047	PAR0003	194.106	0
1	FAM148	PAR0056	PAR0007	NA	0
1	FAM139	PAR0054	PAR0007	207.308	0
1	FAM021	PAR0004	PAR0020	NA	0
1	FAM112	PAR0050	PAR0050	NA	0
1	FAM003	PAR0044	PAR0047	NA	0
1	FAM154	PAR0058	PAR0004	245.191	0
1	FAM158	PAR0059	PAR0007	NA	0
1	FAM043	PAR0024	PAR0053	207.752	0
1	FAM028	PAR0007	PAR0025	242.944	0
1	FAM016	PAR0002	PAR0057	167.248	0
1	FAM012	PAR0002	PAR0028	NA	0
1	FAM085	PAR0045	PAR0004	172.111	0
1	FAM117	PAR0051	PAR0013	NA	0
1	C2	C2	C2	325.831	1
1	FAM089	PAR0045	PAR0058	NA	0
1	FAM144	PAR0054	PAR0059	353.114	0
1	FAM136	PAR0053	PAR0054	214.675	0
1	FAM106	PAR0048	PAR0057	NA	0
1	FAM099	PAR0047	PAR0022	196.034	0
1	FAM015	PAR0002	PAR0050	NA	0
1	FAM173	PAR0064	PAR0051	247.591	0
