PARENT	SIRE	DAM
C0 	0	0
C1	0	0
C2	0	0
C3	0	0
C4	0	0
C10	0	0
C20	0	0
C30	0	0
C40	0	0
FILLER	0	0
PAR0001	0	0
PAR0002	0	0
PAR0003	0	0
PAR0004	0	0
PAR0005	0	0
PAR0006	0	0
PAR0007	0	0
PAR0008	0	0
PAR0009	0	0
PAR0010	0	0
PAR0011	0	0
PAR0012	0	0
PAR0013	0	0
PAR0014	0	0
PAR0015	0	0
PAR0016	0	0
PAR0017	0	0
PAR0018	0	0
PAR0019	0	0
PAR0020	0	0
PAR0021	0	0
PAR0022	0	0
PAR0023	0	0
PAR0024	0	0
PAR0025	0	0
PAR0026	0	0
PAR0027	0	0
PAR0028	0	0
PAR0029	0	0
PAR0030	0	0
PAR0031	0	0
PAR0032	0	0
PAR0033	0	0
PAR0034	0	0
PAR0035	0	0
PAR0036	0	0
PAR0037	0	0
PAR0038	0	0
PAR0039	0	0
PAR0040	0	0
PAR0041	0	0
PAR0042	0	0
PAR0043	0	0
PAR0044	0	0
PAR0045	0	0
PAR0046	0	0
PAR0047	0	0
PAR0048	0	0
PAR0049	0	0
PAR0050	0	0
PAR0051	0	0
PAR0052	0	0
PAR0053	0	0
PAR0054	0	0
PAR0055	0	0
PAR0056	0	0
PAR0057	0	0
PAR0058	0	0
PAR0059	0	0
PAR0060	0	0
PAR0061	0	0
PAR0063	0	0
PAR0064	0	0
