INDIV	Sire	Dam	FAM	DaysM	Sex	Market
1001	564	727	564-727	741.46	1	1
1002	564	727	564-727	500.09	2	1
1003	564	727	564-727	495.07	1	1
1004	564	727	564-727	506.25	2	0
1005	564	727	564-727	593.21	2	1
1006	564	727	564-727	671.1	1	1
1007	564	727	564-727	523.48	1	1
1008	564	727	564-727	531.33	1	1
1009	564	727	564-727	446.02	2	0
1010	564	727	564-727	599.2	1	1
1011	564	727	564-727	509.38	2	1
1012	564	727	564-727	643.45	2	1
1013	607	707	607-707	711.68	1	1
1014	607	707	607-707	641.15	1	1
1015	607	707	607-707	638.59	1	1
1016	607	707	607-707	667.18	1	1
1017	607	707	607-707	649.68	2	1
1018	607	707	607-707	613.24	2	1
1019	587	736	587-736	484.68	1	0
1020	587	736	587-736	660.27	1	1
1021	587	736	587-736	641.35	1	1
1022	587	736	587-736	522.08	2	1
1023	587	736	587-736	493.42	2	0
1024	587	736	587-736	456.2	1	1
1025	587	736	587-736	557.61	1	1
1026	587	736	587-736	536.08	2	1
1027	587	736	587-736	500.7	1	1
1028	587	736	587-736	562.73	1	1
1029	680	640	680-640	524.58	1	1
1030	680	640	680-640	487.94	2	1
1031	680	640	680-640	624.27	2	1
1032	680	640	680-640	581.05	2	1
1033	680	640	680-640	580.6	2	1
1034	680	640	680-640	491.76	1	1
1035	547	602	547-602	540.4	2	1
1036	547	602	547-602	571.74	1	1
1037	547	602	547-602	534.45	2	1
1038	547	602	547-602	541.72	2	1
1039	547	602	547-602	544.93	2	1
1040	688	580	688-580	552.54	1	1
1041	688	580	688-580	512.51	1	0
1042	688	580	688-580	588.4	2	1
1043	688	580	688-580	555.51	2	1
1044	688	580	688-580	652.92	1	1
1045	688	580	688-580	682.6	1	1
1046	688	580	688-580	609.63	2	1
1047	688	580	688-580	507.15	2	1
1048	688	580	688-580	730.3	1	1
1049	718	578	718-578	547.82	1	1
1050	718	578	718-578	564.35	1	1
1051	718	578	718-578	495.36	1	1
1052	718	578	718-578	590.7	2	1
1053	718	578	718-578	642.39	2	1
1054	718	578	718-578	562.26	1	1
1055	718	578	718-578	527.5	1	0
1056	718	578	718-578	499.33	1	1
1057	633	541	633-541	653.63	2	1
1058	633	541	633-541	465.21	2	0
1059	633	541	633-541	594.53	1	1
1060	633	541	633-541	540.23	1	0
1061	633	541	633-541	482.78	1	1
1062	633	541	633-541	553.6	2	1
1063	633	541	633-541	534.07	2	1
1064	633	541	633-541	482.42	2	0
1065	689	530	689-530	521.33	1	1
1066	689	530	689-530	542.67	1	1
1067	689	530	689-530	509.6	1	0
1068	689	530	689-530	590.95	1	1
1069	689	530	689-530	543.15	2	1
1070	689	530	689-530	543.68	2	1
1071	689	530	689-530	609.04	1	1
1072	524	719	524-719	476.31	1	1
1073	524	719	524-719	529.75	1	1
1074	524	719	524-719	516.8	2	0
1075	524	719	524-719	694.7	2	1
1076	524	719	524-719	592.92	1	1
1077	524	719	524-719	674.92	1	1
1078	524	719	524-719	591.7	2	1
1079	524	719	524-719	573.44	2	1
1080	568	584	568-584	478.76	2	0
1081	568	584	568-584	520.22	1	1
1082	568	584	568-584	588.06	2	1
1083	568	584	568-584	558.94	2	1
1084	568	584	568-584	581.01	1	1
1085	568	584	568-584	514.52	2	1
1086	568	584	568-584	520.79	2	1
1087	658	576	658-576	537.25	2	1
1088	658	576	658-576	626.62	2	1
1089	658	576	658-576	583.35	2	1
1090	658	576	658-576	531.16	2	1
1091	658	576	658-576	470.28	2	0
1092	658	576	658-576	668.58	2	1
1093	658	576	658-576	706.17	2	1
1094	658	576	658-576	450.51	1	0
1095	658	576	658-576	501.1	1	1
1096	658	576	658-576	464.88	2	0
1097	551	659	551-659	508.81	2	1
1098	551	659	551-659	482.2	2	1
1099	551	659	551-659	460.68	1	0
1100	551	659	551-659	544.3	1	1
1101	551	659	551-659	464.08	1	1
1102	551	659	551-659	551.78	2	1
1103	551	659	551-659	469.36	2	0
1104	551	659	551-659	558.15	2	1
1105	551	659	551-659	547.63	1	1
1106	579	666	579-666	533.01	2	1
1107	579	666	579-666	574.91	1	1
1108	579	666	579-666	486.01	1	0
1109	579	666	579-666	591.93	2	1
1110	579	666	579-666	515.49	1	1
1111	579	666	579-666	620.38	2	1
1112	579	666	579-666	489.48	2	1
1113	579	666	579-666	513.98	1	1
1114	579	666	579-666	518.37	2	1
1115	579	666	579-666	565.39	2	1
1116	653	521	653-521	816.26	2	1
1117	653	521	653-521	477.5	1	1
1118	653	521	653-521	490.71	2	1
1119	694	655	694-655	576.69	2	1
1120	694	655	694-655	536.9	2	1
1121	694	655	694-655	507.94	2	1
1122	694	655	694-655	508.84	1	1
1123	694	655	694-655	568.26	1	1
1124	622	705	622-705	665.7	1	1
1125	622	705	622-705	437.56	2	0
1126	622	705	622-705	586.26	1	1
1127	622	705	622-705	554.7	2	1
1128	622	705	622-705	530.46	2	1
1129	622	705	622-705	558.21	2	1
1130	622	705	622-705	551.06	2	1
1131	622	705	622-705	596.49	1	1
1132	654	637	654-637	546.18	2	1
1133	654	637	654-637	501.19	1	0
1134	654	637	654-637	599.58	1	1
1135	654	637	654-637	607.46	1	1
1136	654	637	654-637	799.31	1	1
1137	654	637	654-637	668.86	2	1
1138	638	702	638-702	625.35	1	1
1139	638	702	638-702	624.92	2	1
1140	638	702	638-702	470.49	1	1
1141	638	702	638-702	681.4	1	1
1142	638	702	638-702	834.1	2	1
1143	638	702	638-702	713.6	2	1
1144	613	552	613-552	483.42	1	1
1145	613	552	613-552	597.65	1	1
1146	613	552	613-552	559.28	1	1
1147	613	552	613-552	561.13	1	1
1148	613	552	613-552	770.02	2	1
1149	613	552	613-552	743.02	2	1
1150	613	552	613-552	569.67	1	1
1151	613	552	613-552	587.8	2	1
1152	613	552	613-552	503.51	1	1
1153	613	552	613-552	604.67	2	1
1154	613	552	613-552	585.88	2	1
1155	723	676	723-676	522.6	2	1
1156	723	676	723-676	701.36	2	1
1157	723	676	723-676	646.64	2	1
1158	723	676	723-676	532.62	1	1
1159	723	676	723-676	734.37	2	1
1160	636	619	636-619	500.28	2	1
1161	636	619	636-619	532.56	1	1
1162	636	619	636-619	484.11	1	0
1163	636	619	636-619	410.51	1	0
1164	636	619	636-619	574.3	1	1
1165	636	619	636-619	723.78	2	1
1166	636	619	636-619	578.33	2	1
1167	636	619	636-619	602.52	2	1
1168	553	618	553-618	519.85	1	1
1169	553	618	553-618	503.47	2	0
1170	553	618	553-618	537.98	2	1
1171	553	618	553-618	617.13	2	1
1172	553	618	553-618	549.56	2	1
1173	537	691	537-691	548.69	2	1
1174	537	691	537-691	508.82	1	0
1175	537	691	537-691	506.5	2	0
1176	537	691	537-691	560.15	2	1
1177	537	691	537-691	550.96	2	1
1178	537	691	537-691	589.4	1	1
1179	537	691	537-691	534	1	1
1180	565	514	565-514	523.64	2	1
1181	565	514	565-514	529.49	2	1
1182	565	514	565-514	540.39	1	1
1183	565	514	565-514	457.74	1	0
1184	565	514	565-514	529.21	1	1
1185	565	514	565-514	624.05	1	1
1186	565	514	565-514	513.53	2	1
1187	565	514	565-514	462.15	2	1
1188	646	519	646-519	497.2	1	0
1189	646	519	646-519	639.56	2	1
1190	646	519	646-519	563.11	2	1
1191	646	519	646-519	503.2	1	1
1192	646	519	646-519	594.29	2	1
1193	646	519	646-519	592.79	2	1
1194	646	519	646-519	555.07	2	1
1195	646	519	646-519	574.4	2	1
1196	571	522	571-522	494.63	2	1
1197	571	522	571-522	682.89	1	1
1198	571	522	571-522	522.8	2	1
1199	571	522	571-522	574.67	1	1
1200	571	522	571-522	734.13	1	1
1201	571	522	571-522	570.79	1	1
1202	571	522	571-522	580.86	2	1
1203	571	522	571-522	593.84	1	1
1204	571	522	571-522	656.51	2	1
1205	571	522	571-522	618.19	2	1
1206	571	522	571-522	621.17	1	1
1207	571	522	571-522	469.45	1	0
1208	696	697	696-697	494.4	1	1
1209	696	697	696-697	619	2	1
1210	696	697	696-697	611.01	2	1
1211	696	697	696-697	541.18	2	1
1212	696	697	696-697	598.78	1	1
1213	696	697	696-697	602.07	1	1
1214	696	697	696-697	616.39	2	1
1215	703	616	703-616	674.08	1	1
1216	703	616	703-616	712.18	2	1
1217	703	616	703-616	569	2	1
1218	703	616	703-616	531.37	1	1
1219	703	616	703-616	540.09	1	0
1220	703	616	703-616	639.65	1	1
1221	703	616	703-616	648.17	2	1
1222	635	608	635-608	542.37	2	1
1223	635	608	635-608	584.67	1	1
1224	635	608	635-608	513.29	2	1
1225	635	608	635-608	544.56	1	1
1226	635	608	635-608	535.72	1	1
1227	575	577	575-577	481.03	1	0
1228	575	577	575-577	529.53	2	1
1229	575	577	575-577	512.81	1	1
1230	575	577	575-577	584.45	2	1
1231	575	577	575-577	560	2	1
1232	575	577	575-577	556.47	2	1
1233	575	577	575-577	597.88	1	1
1234	575	577	575-577	554.56	1	1
1235	575	577	575-577	528.03	2	0
1236	575	577	575-577	571.65	1	1
1237	574	686	574-686	519.31	1	1
1238	574	686	574-686	606.75	1	1
1239	574	686	574-686	610.66	2	1
1240	574	686	574-686	465.48	1	0
1241	574	686	574-686	592.85	2	1
1242	574	686	574-686	529.86	2	1
1243	574	686	574-686	605.74	2	1
1244	574	686	574-686	506.88	1	1
1245	574	686	574-686	535.17	1	1
1246	574	686	574-686	664.33	2	1
1247	574	686	574-686	681.53	2	1
1248	574	686	574-686	509.29	2	1
1249	574	686	574-686	500.87	1	1
1250	585	599	585-599	501.55	1	1
1251	585	599	585-599	562.62	1	1
1252	585	599	585-599	655.32	1	1
1253	585	599	585-599	514.94	1	1
1254	585	599	585-599	524.82	1	1
1255	585	599	585-599	632.91	2	1
1256	585	599	585-599	661.32	1	1
1257	585	599	585-599	653.83	2	1
1258	585	599	585-599	474.51	1	0
1259	693	596	693-596	627.62	1	1
1260	693	596	693-596	586.88	1	1
1261	693	596	693-596	546.94	1	1
1262	693	596	693-596	742.07	2	1
1263	693	596	693-596	577.93	2	1
1264	693	596	693-596	825.67	2	1
1265	693	596	693-596	610.41	1	1
1266	693	596	693-596	526.61	2	1
1267	572	527	572-527	448.25	1	0
1268	572	527	572-527	532.01	2	1
1269	572	527	572-527	451.24	1	0
1270	572	527	572-527	531.5	2	1
1271	572	527	572-527	501.73	1	1
1272	572	527	572-527	520.56	1	1
1273	572	527	572-527	604.44	2	1
1274	572	527	572-527	515.95	1	1
1275	572	527	572-527	586.96	1	1
1276	572	527	572-527	554.77	1	1
1277	562	536	562-536	490.05	2	1
1278	562	536	562-536	627.44	2	1
1279	562	536	562-536	553.59	2	1
1280	562	536	562-536	560.04	2	1
1281	562	536	562-536	459.87	1	0
1282	669	733	669-733	689.73	2	1
1283	669	733	669-733	472.9	1	0
1284	669	733	669-733	538.58	2	1
1285	669	733	669-733	560.02	2	1
1286	669	733	669-733	492.2	1	0
1287	669	733	669-733	462.33	2	0
1288	669	733	669-733	542.76	2	1
1289	669	733	669-733	578.24	2	1
1290	669	733	669-733	530.11	2	0
1291	669	733	669-733	533.44	1	1
1292	669	733	669-733	536.44	2	1
1293	546	620	546-620	490.26	2	1
1294	546	620	546-620	484.08	2	0
1295	546	620	546-620	522.54	1	1
1296	546	620	546-620	721.58	1	1
1297	546	620	546-620	483.94	2	0
1298	546	620	546-620	549.74	2	1
1299	546	620	546-620	517.82	2	1
1300	546	620	546-620	486.96	1	0
1301	546	620	546-620	691.79	1	1
1302	546	620	546-620	501.31	2	0
1303	507	605	507-605	491.28	1	1
1304	507	605	507-605	586.08	1	1
1305	507	605	507-605	521.81	1	1
1306	507	605	507-605	618.75	2	1
1307	507	605	507-605	561.86	2	1
1308	507	605	507-605	520.06	2	1
1309	507	605	507-605	481.13	1	0
1310	507	605	507-605	583.6	1	1
1311	507	605	507-605	542.65	1	1
1312	507	605	507-605	575.23	2	1
1313	507	605	507-605	618.32	2	1
1314	507	605	507-605	559.12	2	1
1315	507	605	507-605	527.98	2	1
1316	706	559	706-559	527.03	1	1
