INDIV	REP	PLOT	FEMALE	TYPE	DBH	HT
1	1	1	FEM1	Test	23.8	12.4
2	1	1	FEM1	Test	24.4	12.1
3	1	1	FEM1	Test	25.4	10.9
4	1	1	FEM1	Test	28	12.7
5	1	1	FEM1	Test	20.9	11.9
6	1	1	FEM1	Test	22.6	11.2
7	1	2	FEM15	Test	22.4	10.7
8	1	2	FEM15	Test	21.9	11.6
9	1	2	FEM15	Test	20.8	11.3
10	1	2	FEM15	Test	21.6	13.3
11	1	2	FEM15	Test	23.5	13.1
12	1	2	FEM15	Test	22.5	12.5
13	1	3	FEM2	Test	20.5	10.7
14	1	3	FEM2	Test	24.3	11.8
15	1	3	FEM2	Test	NA	NA
16	1	3	FEM2	Test	23.1	12.9
17	1	3	FEM2	Test	13.1	10.6
18	1	3	FEM2	Test	22.9	12.2
19	1	4	FEM16	Test	22.4	12.5
20	1	4	FEM16	Test	22.9	12.7
21	1	4	FEM16	Test	21.9	13.3
22	1	4	FEM16	Test	24.3	12.9
23	1	4	FEM16	Test	23.1	12.8
24	1	4	FEM16	Test	22.3	10.7
25	1	5	FEM3	Test	16.5	11.1
26	1	5	FEM3	Test	21.1	12.6
27	1	5	FEM3	Test	19.9	11.4
28	1	5	FEM3	Test	21.4	11.6
29	1	5	FEM3	Test	19.6	12.2
30	1	5	FEM3	Test	20.6	12.1
31	1	6	FEM17	Test	24.7	12.2
32	1	6	FEM17	Test	23.8	12.8
33	1	6	FEM17	Test	16.9	11.1
34	1	6	FEM17	Test	22.7	12.9
35	1	6	FEM17	Test	21.3	11.8
36	1	6	FEM17	Test	21.1	12.1
37	1	7	FEM4	Test	18.1	10.4
38	1	7	FEM4	Test	22.3	11
39	1	7	FEM4	Test	22.5	12.9
40	1	7	FEM4	Test	23.4	12.1
41	1	7	FEM4	Test	22.5	12.2
42	1	7	FEM4	Test	20.9	12.3
43	1	8	C3	Control	21.1	13.5
44	1	8	C3	Control	21.1	11.7
45	1	8	C3	Control	22.8	13.4
46	1	8	C3	Control	22.4	13.3
47	1	8	C3	Control	22	11.5
48	1	8	C3	Control	17.9	10.1
49	1	9	FEM5	Test	19.2	10.6
50	1	9	FEM5	Test	21.4	12.2
51	1	9	FEM5	Test	17.5	11.6
52	1	9	FEM5	Test	23.8	12.9
53	1	9	FEM5	Test	22.9	11.4
54	1	9	FEM5	Test	24.5	13.2
55	1	10	C2	Control	20	12.3
56	1	10	C2	Control	24.1	13.6
57	1	10	C2	Control	20.5	13.1
58	1	10	C2	Control	22.5	13.2
59	1	10	C2	Control	27.5	14.5
60	1	10	C2	Control	NA	NA
61	1	11	FEM6	Test	25.2	11.6
62	1	11	FEM6	Test	21.1	10.4
63	1	11	FEM6	Test	20.7	11.7
64	1	11	FEM6	Test	24	11.9
65	1	11	FEM6	Test	23.1	12.4
66	1	11	FEM6	Test	21.9	13.1
67	1	12	C1	Control	23.1	12.9
68	1	12	C1	Control	17.7	9.1
69	1	12	C1	Control	13.8	11.2
70	1	12	C1	Control	24.2	13.2
71	1	12	C1	Control	19	11.6
72	1	12	C1	Control	20.9	9.7
73	1	13	FEM7	Test	21.4	7.8
74	1	13	FEM7	Test	20.6	12.5
75	1	13	FEM7	Test	22.3	11.5
76	1	13	FEM7	Test	21.8	12.7
77	1	13	FEM7	Test	17.5	11.1
78	1	13	FEM7	Test	23.7	13
79	1	14	FEM28	Test	24.2	13.2
80	1	14	FEM28	Test	20.6	11
81	1	14	FEM28	Test	22.2	11.9
82	1	14	FEM28	Test	NA	NA
83	1	14	FEM28	Test	24.6	13.5
84	1	14	FEM28	Test	22	12.1
85	1	15	FEM8	Test	20.5	11.2
86	1	15	FEM8	Test	23.2	12.7
87	1	15	FEM8	Test	19.6	11.4
88	1	15	FEM8	Test	22.6	10.6
89	1	15	FEM8	Test	20.5	11.6
90	1	15	FEM8	Test	19.7	11.5
91	1	16	FEM27	Test	NA	NA
92	1	16	FEM27	Test	24.7	12.4
93	1	16	FEM27	Test	22.1	12.5
94	1	16	FEM27	Test	21.6	12.1
95	1	16	FEM27	Test	21.5	11.9
96	1	16	FEM27	Test	23.4	12.2
97	1	17	FEM9	Test	19	9.7
98	1	17	FEM9	Test	22.6	12.1
99	1	17	FEM9	Test	21.7	11.1
100	1	17	FEM9	Test	19.2	9.9
101	1	17	FEM9	Test	16.8	8.7
102	1	17	FEM9	Test	14.2	8.2
103	1	18	FEM26	Test	22.6	10.8
104	1	18	FEM26	Test	NA	NA
105	1	18	FEM26	Test	20.4	9.6
106	1	18	FEM26	Test	20.2	11.6
107	1	18	FEM26	Test	24	12.1
108	1	18	FEM26	Test	NA	NA
109	1	19	FEM10	Test	21.3	11.8
110	1	19	FEM10	Test	22.8	11.4
111	1	19	FEM10	Test	19	9.7
112	1	19	FEM10	Test	17	8.8
113	1	19	FEM10	Test	20.1	10
114	1	19	FEM10	Test	17.1	10.1
