IDSORT	Rep	Block	Row	Col	Genot	Fem	Male	Family	Yield	Predict
1	1	1	1	1	Gen0276	Ref019	Ref032	Fam35	5.4	0
2	1	1	1	2	Gen0555	Ref016	Ref010	Fam25	9.7	0
3	1	1	2	1	Ref023	Ref042	Ref004	Fam94	8.0	0
4	1	1	2	2	Gen0126	Ref026	Ref033	Fam41	6.2	0
5	1	1	3	1	Gen0508	Ref011	Ref032	Fam13	.	1
6	1	1	3	2	Gen0566	Ref015	Ref016	Fam23	9.7	0
7	1	1	4	1	Gen0485	Ref011	Ref032	Fam13	.	1
8	1	1	4	2	Gen0501	Ref048	Ref029	Fam104	8.0	0
9	1	1	5	1	Gen0337	Ref049	Ref015	Fam108	8.7	0
10	1	1	5	2	Gen0502	Ref048	Ref029	Fam104	6.1	0
11	1	1	6	1	Gen0507	Ref048	Ref029	Fam104	.	0
12	1	1	6	2	Gen0367	Ref029	Gen0002	Fam48	7.2	0
13	1	1	7	1	Gen0510	Ref048	Ref029	Fam104	4.0	0
14	1	1	7	2	Gen0505	Ref048	Ref029	Fam104	5.3	0
15	1	1	8	1	Gen0506	Ref048	Ref029	Fam104	8.2	0
16	1	1	8	2	Gen0360	Ref020	Ref019	Fam37	7.1	0
17	1	1	9	1	Gen0590	Ref019	Ref028	Fam34	9.2	0
18	1	1	9	2	Gen0641	Ref032	Ref033	Fam56	8.0	0
19	1	1	10	1	Gen0194	Ref049	Ref028	Fam109	6.9	0
20	1	1	10	2	Gen0640	Ref032	Ref033	Fam56	7.4	0
21	1	1	11	1	Gen0191	Ref049	Ref028	Fam109	6.4	0
22	1	1	11	2	Gen0190	Ref049	Ref028	Fam109	6.6	0
23	1	1	12	1	Gen0023	Ref029	Ref019	Fam51	9.0	0
24	1	1	12	2	Gen0021	Ref029	Ref019	Fam51	7.0	0
25	1	1	13	1	Gen0029	Ref029	Ref019	Fam51	6.4	0
26	1	1	13	2	Gen0533	Ref029	Ref016	Fam50	5.9	0
27	1	1	14	1	Gen0099	Ref029	Ref011	Fam49	7.6	0
28	1	1	14	2	Gen0062	Ref029	Ref019	Fam51	7.4	0
29	1	1	15	1	Gen0239	Ref048	Ref011	Fam102	8.3	0
30	1	1	15	2	Gen0543	Ref029	Ref016	Fam50	7.9	0
31	1	1	16	1	Gen0206	Ref033	Ref028	Fam60	8.9	0
32	1	1	16	2	Gen0229	Ref030	Ref048	Fam55	7.0	0
33	1	1	17	1	Gen0076	Ref046	Ref015	Fam98	10.2	0
34	1	1	17	2	Gen0238	Ref030	Ref048	Fam55	6.1	0
35	1	1	18	1	Gen0542	Ref029	Ref016	Fam50	7.6	0
36	1	1	18	2	Gen0523	Ref029	Ref026	Fam52	6.3	0
37	1	1	19	1	Gen0532	Ref029	Ref016	Fam50	7.7	0
38	1	1	19	2	Gen0652	Ref018	Ref030	Fam29	9.4	0
39	1	1	20	1	Gen0187	Ref029	Ref011	Fam49	.	1
40	1	1	20	2	Gen0493	Ref020	Ref029	Fam38	8.2	0
41	1	1	21	1	Gen0160	Ref011	Ref026	Fam11	7.1	0
42	1	1	21	2	Gen0214	Ref048	Ref019	Fam103	7.0	0
43	1	1	22	1	Gen0302	Ref018	Ref048	Fam30	6.3	0
44	1	1	22	2	Gen0240	Ref011	Ref033	Fam14	6.3	0
45	1	1	23	1	Gen0074	Ref046	Ref015	Fam98	9.9	0
46	1	1	23	2	Gen0645	Ref032	Ref033	Fam56	5.9	0
47	1	1	24	1	Gen0241	Ref011	Ref033	Fam14	.	0
48	1	1	24	2	Gen0070	Ref046	Ref015	Fam98	6.9	0
49	1	1	25	1	Ref021	Ref009	Ref007	Fam5	9.5	0
50	1	1	25	2	Gen0657	Ref018	Ref030	Fam29	5.5	0
51	1	1	26	1	Gen0496	Ref020	Ref029	Fam38	6.8	0
52	1	1	26	2	Gen0218	Ref048	Ref019	Fam103	6.0	0
53	1	1	27	1	Gen0655	Ref018	Ref030	Fam29	6.8	0
54	1	1	27	2	Gen0500	Ref048	Ref029	Fam104	6.5	0
55	1	1	28	1	Gen0560	Ref016	Ref010	Fam25	6.3	0
56	1	1	28	2	Gen0233	Ref048	Ref011	Fam102	6.3	0
57	1	1	29	1	Gen0362	Ref020	Ref019	Fam37	6.6	0
58	1	1	29	2	Gen0557	Ref016	Ref010	Fam25	7.3	0
59	1	1	30	1	Gen0339	Ref015	Ref010	Fam21	8.1	0
60	1	1	30	2	Gen0499	Ref048	Ref029	Fam104	5.4	0
61	1	1	31	1	Gen0597	Ref046	Ref028	Fam99	7.6	0
62	1	1	31	2	Gen0498	Ref048	Ref029	Fam104	7.6	0
63	1	1	32	1	Gen0130	Ref026	Ref033	Fam41	5.9	0
64	1	1	32	2	Gen0637	Ref028	Ref018	Fam46	6.6	0
65	1	1	33	1	Gen0514	Ref011	Ref046	Fam15	9.4	0
66	1	1	33	2	Gen0455	Ref046	Ref033	Fam101	7.2	0
67	1	1	34	1	Gen0610	Ref019	Ref046	Fam36	7.7	0
68	1	1	34	2	Gen0504	Ref048	Ref029	Fam104	7.6	0
69	1	1	35	1	Gen0043	Ref011	Ref015	Fam10	8.6	0
70	1	1	35	2	Gen0044	Ref011	Ref015	Fam10	8.2	0
71	1	1	36	1	Gen0013	Ref015	Ref044	Fam24	7.4	0
72	1	1	36	2	Gen0103	Ref013	Ref010	Fam18	6.8	0
73	1	1	37	1	Gen0621	Ref016	Ref030	Fam26	7.3	0
74	1	1	37	2	Gen0572	Ref015	Ref016	Fam23	7.8	0
75	1	1	38	1	Gen0633	Ref028	Ref018	Fam46	8.2	0
76	1	1	38	2	Gen0647	Ref032	Ref033	Fam56	9.0	0
77	1	1	39	1	Gen0096	Ref028	Ref031	Fam47	7.6	0
78	1	1	39	2	Gen0653	Ref018	Ref030	Fam29	6.6	0
79	1	1	40	1	Gen0235	Ref030	Ref048	Fam55	7.0	0
80	1	1	40	2	Gen0556	Ref016	Ref010	Fam25	7.5	0
81	1	1	41	1	Gen0654	Ref018	Ref030	Fam29	.	0
82	1	1	41	2	Gen0398	Ref013	Ref030	Fam19	7.8	0
83	1	1	42	1	Gen0025	Ref012	Ref019	Fam16	7.8	0
84	1	1	42	2	Gen0225	Ref030	Ref048	Fam55	7.1	0
85	1	1	43	1	Gen0352	Ref019	Ref026	Fam33	7.0	0
86	1	1	43	2	Gen0364	Ref019	Ref026	Fam33	7.3	0
87	1	1	44	1	Gen0449	Ref010	Ref018	Fam7	5.9	0
88	1	1	44	2	Gen0534	Ref011	Ref032	Fam13	7.5	0
89	1	1	45	1	Gen0561	Ref016	Ref010	Fam25	6.4	0
90	1	1	45	2	Gen0164	Ref011	Ref026	Fam11	8.1	0
91	1	1	46	1	Gen0223	Ref048	Ref011	Fam102	6.2	0
92	1	1	46	2	Gen0613	Ref017	Ref015	Fam27	6.7	0
93	1	1	47	1	Gen0503	Ref048	Ref029	Fam104	10.4	0
94	1	1	47	2	Ref047	Ref001	Ref041	Fam2	8.2	0
95	1	1	48	1	Gen0632	Ref028	Ref018	Fam46	7.3	0
96	1	1	48	2	Gen0183	Ref049	Ref028	Fam109	5.8	0
97	1	1	49	1	Gen0161	Ref011	Ref026	Fam11	6.5	0
98	1	1	49	2	Gen0184	Ref049	Ref028	Fam109	8.2	0
99	1	1	50	1	Gen0535	Ref029	Ref016	Fam50	7.8	0
100	1	1	50	2	Gen0605	Ref017	Ref028	Fam28	.	0
101	1	1	51	1	Gen0635	Ref028	Ref018	Fam46	6.9	0
102	1	1	51	2	Gen0513	Ref011	Ref046	Fam15	8.0	0
103	1	1	52	1	Gen0181	Ref012	Ref029	Fam17	8.0	0
104	1	1	52	2	Gen0127	Ref026	Ref033	Fam41	5.8	0
105	1	1	53	1	Gen0413	Ref011	Ref028	Fam12	6.9	0
106	1	1	53	2	Gen0559	Ref019	Ref046	Fam36	6.7	0
107	1	1	54	1	Gen0516	Ref011	Ref046	Fam15	7.6	0
108	1	1	54	2	Gen0091	Ref028	Ref031	Fam47	8.6	0
109	1	1	55	1	Gen0515	Ref011	Ref046	Fam15	.	0
110	1	1	55	2	Gen0447	Ref010	Ref018	Fam7	9.9	0
111	1	1	56	1	Gen0573	Ref015	Ref016	Fam23	7.6	0
112	1	1	56	2	Gen0323	Ref033	Ref017	Fam59	7.1	0
113	1	1	57	1	Gen0290	Ref018	Ref048	Fam30	7.1	0
114	1	1	57	2	Gen0436	Ref032	Ref046	Fam57	7.3	0
115	1	1	58	1	Gen0442	Ref020	Ref019	Fam37	7.0	0
116	1	1	58	2	Gen0135	Ref026	Ref033	Fam41	.	1
117	1	1	59	1	Gen0037	Ref011	Ref015	Fam10	8.9	0
118	1	1	59	2	Gen0153	Ref010	Ref012	Fam6	.	0
119	1	1	60	1	Gen0340	Ref015	Ref010	Fam21	8.9	0
120	1	1	60	2	Gen0213	Ref048	Ref019	Fam103	7.8	0
121	1	1	61	1	Gen0249	Ref011	Ref033	Fam14	.	0
122	1	1	61	2	Gen0351	Ref020	Ref019	Fam37	6.6	0
123	1	1	62	1	Gen0129	Ref026	Ref033	Fam41	5.9	0
124	1	1	62	2	Gen0415	Ref020	Ref019	Fam37	6.6	0
125	1	1	63	1	Gen0528	Ref029	Ref026	Fam52	8.7	0
126	1	1	63	2	Gen0035	Ref011	Ref015	Fam10	7.6	0
127	1	1	64	1	Gen0511	Ref011	Ref046	Fam15	8.4	0
128	1	1	64	2	Gen0152	Ref010	Ref012	Fam6	.	0
129	1	1	65	1	Gen0509	Ref048	Ref029	Fam104	7.0	0
130	1	1	65	2	Gen0582	Ref028	Ref010	Fam44	7.7	0
131	1	1	66	1	Gen0350	Ref020	Ref019	Fam37	8.2	0
132	1	1	66	2	Gen0518	Ref011	Ref046	Fam15	7.1	0
133	1	1	67	1	Ref049	Ref044	Ref002	Fam95	7.2	0
