IDD	Test	Genotype	Rep	Iblock	Row	Column	Surv	DBH	HT
10001	1	G41	1	1	1	1	1	736.6	557.8
10002	1	G33	1	1	2	1	1	685.8	588.3
10003	1	G22	1	1	3	1	1	838.2	551.7
10004	1	G31	1	1	4	1	1	660.4	539.5
10005	1	G18	1	1	5	1	1	406.4	411.5
10006	1	G01	1	1	6	1	1	508.0	417.6
10007	1	G05	1	1	7	1	1	711.2	518.2
10008	1	G54	1	2	8	1	1	609.6	463.3
10009	1	G30	1	2	9	1	1	482.6	466.3
10010	1	G17	1	2	10	1	1	736.6	527.3
10011	1	G58	1	2	11	1	1	584.2	472.4
10012	1	G37	1	2	12	1	1	431.8	442.0
10013	1	G07	1	2	13	1	1	736.6	600.5
10014	1	G42	1	2	14	1	1	711.2	566.9
10015	1	G38	1	3	15	1	1	711.2	518.2
10016	1	G33	1	3	16	1	1	736.6	606.6
10017	1	G50	1	3	17	1	1	736.6	576.1
10018	1	G20	1	3	18	1	1	660.4	539.5
10019	1	G01	1	3	19	1	1	508.0	442.0
10020	1	G11	1	3	20	1	1	584.2	506.0
10021	1	G41	1	3	21	1	1	609.6	502.9
10022	1	G17	1	4	22	1	1	609.6	509.0
10023	1	G13	1	4	23	1	1	736.6	530.4
10024	1	G49	1	4	24	1	1	508.0	463.3
10025	1	G54	1	4	25	1	1	584.2	466.3
10026	1	G07	1	4	26	1	1	431.8	390.1
10027	1	G19	1	4	27	1	1	762.0	536.4
10028	1	G24	1	4	28	1	1	685.8	539.5
10029	1	G58	1	5	29	1	1	558.8	445.0
10030	1	G02	1	5	30	1	0	NA	NA
10031	1	G54	1	5	31	1	1	508.0	411.5
10032	1	G30	1	5	32	1	1	406.4	393.2
10033	1	G07	1	5	33	1	1	482.6	442.0
10034	1	G37	1	5	34	1	1	431.8	323.1
10035	1	G13	1	5	35	1	1	279.4	323.1
10036	1	G41	1	6	36	1	1	355.6	350.5
10037	1	G45	1	6	37	1	1	482.6	481.6
10038	1	G05	1	6	38	1	1	635.0	457.2
10039	1	G54	1	6	39	1	1	482.6	457.2
10040	1	G17	1	6	40	1	1	787.4	588.3
10041	1	G33	1	6	41	1	1	787.4	634.0
10042	1	G30	1	6	42	1	1	355.6	457.2
10043	1	G37	1	7	43	1	1	965.2	603.5
10044	1	G50	1	7	44	1	1	609.6	524.3
10045	1	G17	1	7	45	1	0	NA	NA
10046	1	G41	1	7	46	1	1	609.6	438.9
10047	1	G20	1	7	47	1	1	457.2	463.3
10048	1	G45	1	7	48	1	1	431.8	435.9
10049	1	G54	1	7	49	1	1	660.4	509.0
10050	1	G54	1	8	50	1	1	635.0	484.6
10051	1	G13	1	8	51	1	1	609.6	472.4
10052	1	G45	1	8	52	1	1	660.4	551.7
10053	1	G33	1	8	53	1	1	812.8	542.5
10054	1	G49	1	8	54	1	1	558.8	454.2
10055	1	G40	1	8	55	1	1	635.0	493.8
10056	1	G20	1	8	56	1	1	584.2	499.9
10057	1	G58	1	8	56	2	1	889.0	609.6
10058	1	G17	1	8	55	2	1	736.6	533.4
10059	1	G02	1	8	54	2	1	584.2	493.8
10060	1	G07	1	8	53	2	0	NA	NA
10061	1	G24	1	8	52	2	0	NA	NA
10062	1	G30	1	8	51	2	1	457.2	472.4
10063	1	G37	1	8	50	2	1	533.4	463.3
10064	1	G33	1	7	49	2	1	558.8	521.2
10065	1	G59	1	7	48	2	1	381.0	405.4
10066	1	G02	1	7	47	2	1	558.8	460.2
10067	1	G13	1	7	46	2	1	660.4	496.8
10068	1	G05	1	7	45	2	1	558.8	414.5
10069	1	G24	1	7	44	2	1	736.6	548.6
10070	1	G30	1	7	43	2	1	279.4	341.4
10071	1	G59	1	6	42	2	1	685.8	484.6
10072	1	G50	1	6	41	2	1	838.2	554.7
10073	1	G37	1	6	40	2	1	584.2	493.8
10074	1	G02	1	6	39	2	1	736.6	518.2
10075	1	G20	1	6	38	2	1	558.8	493.8
10076	1	G12	1	6	37	2	1	406.4	NA
10077	1	G24	1	6	36	2	1	736.6	600.5
10078	1	G40	1	5	35	2	1	533.4	487.7
10079	1	G19	1	5	34	2	1	584.2	496.8
10080	1	G45	1	5	33	2	1	482.6	469.4
10081	1	G17	1	5	32	2	1	609.6	408.4
10082	1	G49	1	5	31	2	1	584.2	493.8
10083	1	G24	1	5	30	2	1	584.2	496.8
10084	1	G33	1	5	29	2	1	533.4	432.8
10085	1	G44	1	4	28	2	1	660.4	521.2
10086	1	G30	1	4	27	2	1	482.6	454.2
10087	1	G40	1	4	26	2	1	482.6	442.0
10088	1	G32	1	4	25	2	1	660.4	521.2
10089	1	G37	1	4	24	2	1	457.2	469.4
10090	1	G58	1	4	23	2	1	736.6	506.0
10091	1	G02	1	4	22	2	1	635.0	484.6
10092	1	G05	1	3	21	2	1	609.6	542.5
10093	1	G18	1	3	20	2	1	508.0	487.7
10094	1	G25	1	3	19	2	1	609.6	493.8
10095	1	G31	1	3	18	2	1	660.4	515.1
10096	1	G45	1	3	17	2	1	635.0	566.9
10097	1	G55	1	3	16	2	1	558.8	481.6
10098	1	G59	1	3	15	2	1	711.2	463.3
10099	1	G46	1	2	14	2	0	NA	NA
10100	1	G19	1	2	13	2	1	711.2	469.4
10101	1	G24	1	2	12	2	1	685.8	576.1
10102	1	G49	1	2	11	2	1	660.4	573.0
10103	1	G02	1	2	10	2	1	812.8	591.3
10104	1	G13	1	2	9	2	1	533.4	475.5
10105	1	G32	1	2	8	2	1	736.6	560.8
10106	1	G36	1	1	7	2	1	584.2	487.7
10107	1	G18	1	1	6	2	1	584.2	484.6
10108	1	G55	1	1	5	2	1	406.4	448.1
10109	1	G45	1	1	4	2	1	609.6	445.0
10110	1	G21	1	1	3	2	1	482.6	457.2
10111	1	G59	1	1	2	2	1	635.0	527.3
10112	1	G11	1	1	1	2	1	762.0	582.2
10113	1	G05	1	9	1	3	1	635.0	496.8
10114	1	G54	1	9	2	3	1	355.6	371.9
10115	1	G37	1	9	3	3	1	711.2	530.4
10116	1	G33	1	9	4	3	1	812.8	594.4
10117	1	G30	1	9	5	3	1	457.2	448.1
10118	1	G40	1	9	6	3	1	431.8	457.2
10119	1	G20	1	9	7	3	1	762.0	606.6
10120	1	G59	1	10	8	3	1	482.6	475.5
10121	1	G01	1	10	9	3	1	736.6	530.4
10122	1	G50	1	10	10	3	1	711.2	563.9
10123	1	G31	1	10	11	3	1	736.6	579.1
10124	1	G31	1	10	12	3	1	635.0	493.8
10125	1	G36	1	10	13	3	1	685.8	515.1
10126	1	G55	1	10	14	3	1	609.6	502.9
10127	1	G22	1	11	15	3	1	863.6	560.8
10128	1	G31	1	11	16	3	1	711.2	566.9
10129	1	G11	1	11	17	3	1	660.4	548.6
10130	1	G33	1	11	18	3	1	584.2	475.5
10131	1	G41	1	11	19	3	1	584.2	527.3
10132	1	G05	1	11	20	3	1	660.4	490.7
10133	1	G59	1	11	21	3	1	685.8	551.7
10134	1	G12	1	12	22	3	1	203.2	313.9
10135	1	G32	1	12	23	3	1	660.4	527.3
10136	1	G17	1	12	24	3	1	431.8	442.0
10137	1	G19	1	12	25	3	1	457.2	420.6
10138	1	G36	1	12	26	3	1	660.4	502.9
10139	1	G42	1	12	27	3	1	685.8	573.0
10140	1	G58	1	12	28	3	1	533.4	423.7
10141	1	G12	1	13	29	3	1	533.4	475.5
10142	1	G23	1	13	30	3	1	584.2	530.4
10143	1	G06	1	13	31	3	1	355.6	NA
10144	1	G55	1	13	32	3	1	457.2	481.6
10145	1	G31	1	13	33	3	1	711.2	509.0
10146	1	G31	1	13	34	3	1	660.4	487.7
10147	1	G36	1	13	35	3	1	711.2	600.5
10148	1	G54	1	14	36	3	1	NA	NA
10149	1	G05	1	14	37	3	1	381.0	405.4
10150	1	G37	1	14	38	3	1	279.4	344.4
10151	1	G58	1	14	39	3	1	457.2	396.2
10152	1	G40	1	14	40	3	1	508.0	512.1
10153	1	G45	1	14	41	3	1	609.6	524.3
10154	1	G50	1	14	42	3	1	660.4	548.6
10155	1	G14	1	15	43	3	1	635.0	560.8
10156	1	G41	1	15	44	3	1	685.8	524.3
10157	1	G33	1	15	45	3	1	457.2	493.8
10158	1	G18	1	15	46	3	1	406.4	411.5
10159	1	G59	1	15	47	3	1	330.2	344.4
10160	1	G02	1	15	48	3	1	660.4	484.6
10161	1	G05	1	15	49	3	1	660.4	460.2
10162	1	G58	1	16	50	3	1	711.2	512.1
10163	1	G37	1	16	51	3	1	584.2	539.5
10164	1	G24	1	16	52	3	1	609.6	435.9
10165	1	G50	1	16	53	3	1	660.4	530.4
10166	1	G41	1	16	54	3	1	762.0	557.8
10167	1	G02	1	16	55	3	1	863.6	545.6
10168	1	G13	1	16	56	3	0	NA	NA
10169	1	G05	1	16	56	4	1	685.8	472.4
10170	1	G45	1	16	55	4	1	685.8	582.2
10171	1	G54	1	16	54	4	1	685.8	573.0
10172	1	G16	1	16	53	4	1	812.8	591.3
10173	1	G20	1	16	52	4	1	711.2	582.2
10174	1	G30	1	16	51	4	1	660.4	512.1
10175	1	G33	1	16	50	4	1	558.8	472.4
10176	1	G20	1	15	49	4	1	584.2	512.1
10177	1	G24	1	15	48	4	1	584.2	515.1
10178	1	G50	1	15	47	4	1	635.0	515.1
10179	1	G54	1	15	46	4	1	635.0	478.5
10180	1	G30	1	15	45	4	1	584.2	460.2
10181	1	G37	1	15	44	4	1	558.8	551.7
10182	1	G45	1	15	43	4	1	508.0	475.5
10183	1	G02	1	14	42	4	1	762.0	570.0
10184	1	G13	1	14	41	4	1	762.0	539.5
10185	1	G33	1	14	40	4	1	889.0	670.6
10186	1	G24	1	14	39	4	1	812.8	627.9
10187	1	G17	1	14	38	4	1	762.0	585.2
10188	1	G20	1	14	37	4	1	838.2	661.4
10189	1	G30	1	14	36	4	1	762.0	621.8
10190	1	G41	1	13	35	4	1	660.4	560.8
10191	1	G17	1	13	34	4	1	482.6	463.3
10192	1	G59	1	13	33	4	1	584.2	521.2
10193	1	G16	1	13	32	4	1	558.8	521.2
10194	1	G45	1	13	31	4	1	635.0	496.8
10195	1	G50	1	13	30	4	1	584.2	506.0
10196	1	G01	1	13	29	4	1	685.8	493.8
10197	1	G46	1	12	28	4	1	736.6	521.2
10198	1	G29	1	12	27	4	1	482.6	454.2
10199	1	G23	1	12	26	4	1	558.8	536.4
10200	1	G49	1	12	25	4	1	660.4	551.7
10201	1	G53	1	12	24	4	1	889.0	621.8
10202	1	G01	1	12	23	4	1	736.6	554.7
10203	1	G06	1	12	22	4	1	685.8	515.1
10204	1	G45	1	11	21	4	1	584.2	515.1
10205	1	G18	1	11	20	4	1	NA	442.0
10206	1	G50	1	11	19	4	1	635.0	542.5
10207	1	G18	1	11	18	4	1	711.2	582.2
10208	1	G36	1	11	17	4	1	736.6	521.2
10209	1	G55	1	11	16	4	1	685.8	582.2
10210	1	G01	1	11	15	4	1	508.0	457.2
10211	1	G06	1	10	14	4	1	609.6	463.3
10212	1	G18	1	10	13	4	1	711.2	591.3
10213	1	G12	1	10	12	4	1	838.2	603.5
10214	1	G41	1	10	11	4	1	660.4	545.6
10215	1	G23	1	10	10	4	1	508.0	554.7
10216	1	G18	1	10	9	4	1	660.4	499.9
10217	1	G45	1	10	8	4	1	406.4	442.0
10218	1	G45	1	9	7	4	1	584.2	539.5
10219	1	G49	1	9	6	4	1	609.6	573.0
10220	1	G58	1	9	5	4	1	558.8	481.6
10221	1	G02	1	9	4	4	1	685.8	533.4
10222	1	G24	1	9	3	4	1	609.6	597.4
10223	1	G13	1	9	2	4	1	584.2	442.0
10224	1	G17	1	9	1	4	1	NA	539.5
10225	1	G20	1	17	1	5	1	838.2	606.6
10226	1	G49	1	17	2	5	1	711.2	606.6
10227	1	G45	1	17	3	5	1	584.2	442.0
10228	1	G24	1	17	4	5	1	406.4	484.6
10229	1	G33	1	17	5	5	1	939.8	731.5
10230	1	G37	1	17	6	5	0	NA	NA
10231	1	G30	1	17	7	5	1	533.4	481.6
10232	1	G41	1	18	8	5	1	558.8	487.7
10233	1	G46	1	18	9	5	1	787.4	551.7
10234	1	G31	1	18	10	5	1	584.2	533.4
10235	1	G06	1	18	11	5	1	812.8	588.3
10236	1	G36	1	18	12	5	1	685.8	551.7
