IDD	Indiv	Female	Rep	Time	HT
1	1	F09	1	1	62
2	1	F09	1	2	108
3	1	F09	1	3	240
4	1	F09	1	4	411.5
5	2	F02	1	1	66
6	2	F02	1	2	154
7	2	F02	1	3	275
8	2	F02	1	4	442
9	3	F21	1	1	65
10	3	F21	1	2	116
11	3	F21	1	3	245
12	3	F21	1	4	323.1
13	4	F25	1	1	68
14	4	F25	1	2	102
15	4	F25	1	3	225
16	4	F25	1	4	350.5
17	5	F13	1	1	58
18	5	F13	1	2	170
19	5	F13	1	3	325
20	5	F13	1	4	457.2
21	6	F14	1	1	117
22	6	F14	1	2	265
23	6	F14	1	3	445
24	6	F14	1	4	588.3
25	7	F14	1	1	*
26	7	F14	1	2	*
27	7	F14	1	3	*
28	7	F14	1	4	*
29	8	F15	1	1	75
30	8	F15	1	2	162
31	8	F15	1	3	315
32	8	F15	1	4	484.6
33	9	F18	1	1	74
34	9	F18	1	2	182
35	9	F18	1	3	340
36	9	F18	1	4	493.8
37	10	F03	1	1	100
38	10	F03	1	2	230
39	10	F03	1	3	350
40	10	F03	1	4	518.2
41	11	F07	1	1	72
42	11	F07	1	2	148
43	11	F07	1	3	310
44	11	F07	1	4	313.9
45	12	F14	1	1	69
46	12	F14	1	2	164
47	12	F14	1	3	310
48	12	F14	1	4	469.4
49	13	F11	1	1	87
50	13	F11	1	2	208
51	13	F11	1	3	340
52	13	F11	1	4	493.8
53	14	F24	1	1	50
54	14	F24	1	2	148
55	14	F24	1	3	290
56	14	F24	1	4	454.2
57	15	F02	1	1	66
58	15	F02	1	2	173
59	15	F02	1	3	350
60	15	F02	1	4	521.2
61	16	F21	1	1	75
62	16	F21	1	2	164
63	16	F21	1	3	305
64	16	F21	1	4	469.4
65	17	F15	1	1	78
66	17	F15	1	2	166
67	17	F15	1	3	315
68	17	F15	1	4	493.8
69	18	F21	1	1	60
70	18	F21	1	2	176
71	18	F21	1	3	320
72	18	F21	1	4	463.3
73	19	F03	1	1	75
74	19	F03	1	2	206
75	19	F03	1	3	410
76	19	F03	1	4	591.3
77	20	F16	1	1	61
78	20	F16	1	2	154
79	20	F16	1	3	325
80	20	F16	1	4	487.7
81	21	F14	1	1	80
82	21	F14	1	2	192
83	21	F14	1	3	325
84	21	F14	1	4	445
85	22	F12	1	1	50
86	22	F12	1	2	142
87	22	F12	1	3	305
88	22	F12	1	4	457.2
89	23	F16	1	1	98
90	23	F16	1	2	194
91	23	F16	1	3	360
92	23	F16	1	4	582.2
93	24	F21	1	1	68
94	24	F21	1	2	182
95	24	F21	1	3	340
96	24	F21	1	4	493.8
97	25	F16	1	1	53
98	25	F16	1	2	170
99	25	F16	1	3	380
100	25	F16	1	4	548.6
101	26	F07	1	1	64
102	26	F07	1	2	122
103	26	F07	1	3	215
104	26	F07	1	4	313.9
105	27	F22	1	1	58
106	27	F22	1	2	127
107	27	F22	1	3	360
108	27	F22	1	4	323.1
109	28	F16	1	1	90
110	28	F16	1	2	196
111	28	F16	1	3	385
112	28	F16	1	4	600.5
113	29	F01	1	1	85
114	29	F01	1	2	136
115	29	F01	1	3	250
116	29	F01	1	4	396.2
117	30	F16	1	1	57
118	30	F16	1	2	162
119	30	F16	1	3	350
120	30	F16	1	4	548.6
121	31	F24	1	1	82
122	31	F24	1	2	158
123	31	F24	1	3	305
124	31	F24	1	4	493.8
125	32	F21	1	1	62
126	32	F21	1	2	104
127	32	F21	1	3	220
128	32	F21	1	4	344.4
129	33	F01	1	1	82
130	33	F01	1	2	188
131	33	F01	1	3	350
132	33	F01	1	4	512.1
133	34	F25	1	1	94
134	34	F25	1	2	232
135	34	F25	1	3	410
136	34	F25	1	4	557.8
137	35	F03	1	1	130
138	35	F03	1	2	220
139	35	F03	1	3	385
140	35	F03	1	4	545.6
141	36	F13	1	1	70
142	36	F13	1	2	154
143	36	F13	1	3	320
144	36	F13	1	4	472.4
145	37	F25	1	1	102
146	37	F25	1	2	198
147	37	F25	1	3	410
148	37	F25	1	4	591.3
149	38	F03	1	1	90
150	38	F03	1	2	174
151	38	F03	1	3	370
152	38	F03	1	4	570
153	39	F25	1	1	74
154	39	F25	1	2	202
155	39	F25	1	3	425
156	39	F25	1	4	627.9
157	40	F14	1	1	70
158	40	F14	1	2	156
159	40	F14	1	3	380
160	40	F14	1	4	463.3
161	41	F21	1	1	84
162	41	F21	1	2	196
163	41	F21	1	3	320
164	41	F21	1	4	521.2
165	42	F05	1	1	80
166	42	F05	1	2	198
167	42	F05	1	3	270
168	42	F05	1	4	521.2
169	43	F09	1	1	56
170	43	F09	1	2	120
171	43	F09	1	3	335
172	43	F09	1	4	454.2
173	44	F22	1	1	71
174	44	F22	1	2	166
175	44	F22	1	3	300
176	44	F22	1	4	515.1
177	45	F22	1	1	80
178	45	F22	1	2	178
179	45	F22	1	3	380
180	45	F22	1	4	463.3
181	46	F09	1	1	80
182	46	F09	1	2	194
183	46	F09	1	3	220
184	46	F09	1	4	499.9
185	47	F11	1	1	78
186	47	F11	1	2	172
187	47	F11	1	3	330
188	47	F11	1	4	573
189	48	F11	1	1	85
190	48	F11	1	2	198
191	48	F11	1	3	370
192	48	F11	1	4	606.6
193	49	F24	1	1	135
194	49	F24	1	2	274
195	49	F24	1	3	480
196	49	F24	1	4	731.5
197	50	F21	1	1	*
198	50	F21	1	2	*
199	50	F21	1	3	*
200	50	F21	1	4	*
201	51	F16	1	1	90
202	51	F16	1	2	198
203	51	F16	1	3	345
204	51	F16	1	4	551.7
205	52	F15	1	1	87
206	52	F15	1	2	194
207	52	F15	1	3	350
208	52	F15	1	4	576.1
209	53	F25	1	1	91
210	53	F25	1	2	208
211	53	F25	1	3	400
212	53	F25	1	4	536.4
213	54	F16	1	1	114
214	54	F16	1	2	294
215	54	F16	1	3	530
216	54	F16	1	4	685.8
217	55	F14	1	1	85
218	55	F14	1	2	242
219	55	F14	1	3	470
220	55	F14	1	4	518.2
221	56	F09	1	1	62
222	56	F09	1	2	140
223	56	F09	1	3	310
224	56	F09	1	4	493.8
225	57	F25	1	1	112
226	57	F25	1	2	228
227	57	F25	1	3	415
228	57	F25	1	4	563.9
229	58	F25	1	1	96
230	58	F25	1	2	204
231	58	F25	1	3	400
232	58	F25	1	4	551.7
233	59	F14	1	1	101
234	59	F14	1	2	222
235	59	F14	1	3	370
236	59	F14	1	4	438.9
237	60	F03	1	1	89
238	60	F03	1	2	198
239	60	F03	1	3	410
240	60	F03	1	4	591.3
241	61	F03	1	1	82
242	61	F03	1	2	184
243	61	F03	1	3	340
244	61	F03	1	4	527.3
245	62	F24	1	1	88
246	62	F24	1	2	186
247	62	F24	1	3	335
248	62	F24	1	4	560.8
249	63	F05	1	1	60
250	63	F05	1	2	174
251	63	F05	1	3	340
252	63	F05	1	4	521.2
253	64	F16	1	1	113
254	64	F16	1	2	180
255	64	F16	1	3	320
256	64	F16	1	4	438.9
257	65	F01	1	1	77
258	65	F01	1	2	178
259	65	F01	1	3	310
260	65	F01	1	4	524.3
261	66	F23	1	1	100
262	66	F23	1	2	190
263	66	F23	1	3	360
264	66	F23	1	4	542.5
265	67	F21	1	1	63
266	67	F21	1	2	150
267	67	F21	1	3	240
268	67	F21	1	4	298.7
269	68	F25	1	1	84
270	68	F25	1	2	186
271	68	F25	1	3	350
272	68	F25	1	4	521.2
273	69	F01	1	1	117
274	69	F01	1	2	180
275	69	F01	1	3	340
276	69	F01	1	4	496.8
277	70	F13	1	1	127
278	70	F13	1	2	214
279	70	F13	1	3	370
280	70	F13	1	4	542.5
281	71	F24	1	1	94
282	71	F24	1	2	180
283	71	F24	1	3	400
284	71	F24	1	4	576.1
285	72	F16	1	1	48
286	72	F16	1	2	114
287	72	F16	1	3	275
288	72	F16	1	4	429.8
289	73	F02	1	1	108
290	73	F02	1	2	176
291	73	F02	1	3	345
292	73	F02	1	4	512.1
293	74	F19	1	1	74
294	74	F19	1	2	144
295	74	F19	1	3	290
296	74	F19	1	4	487.7
297	75	F10	1	1	90
298	75	F10	1	2	182
299	75	F10	1	3	335
300	75	F10	1	4	512.1
301	76	F21	1	1	56
302	76	F21	1	2	160
303	76	F21	1	3	280
304	76	F21	1	4	512.1
305	77	F10	1	1	98
306	77	F10	1	2	236
307	77	F10	1	3	390
308	77	F10	1	4	630.9
309	78	F21	1	1	87
310	78	F21	1	2	238
311	78	F21	1	3	425
312	78	F21	1	4	643.1
313	79	F15	1	1	80
314	79	F15	1	2	144
315	79	F15	1	3	265
316	79	F15	1	4	402.3
317	80	F23	1	1	70
318	80	F23	1	2	168
319	80	F23	1	3	360
320	80	F23	1	4	530.4
321	81	F12	1	1	104
322	81	F12	1	2	226
323	81	F12	1	3	380
324	81	F12	1	4	570
325	82	F05	1	1	76
326	82	F05	1	2	158
327	82	F05	1	3	295
328	82	F05	1	4	472.4
329	83	F01	1	1	115
330	83	F01	1	2	284
331	83	F01	1	3	440
332	83	F01	1	4	649.2
333	84	F03	1	1	96
334	84	F03	1	2	214
335	84	F03	1	3	385
336	84	F03	1	4	585.2
337	85	F16	1	1	82
338	85	F16	1	2	206
339	85	F16	1	3	380
340	85	F16	1	4	582.2
341	86	F03	1	1	*
342	86	F03	1	2	*
343	86	F03	1	3	*
344	86	F03	1	4	*
345	87	F02	1	1	118
346	87	F02	1	2	232
347	87	F02	1	3	395
348	87	F02	1	4	545.6
349	88	F21	1	1	80
350	88	F21	1	2	194
351	88	F21	1	3	370
352	88	F21	1	4	527.3
353	89	F25	1	1	81
354	89	F25	1	2	194
355	89	F25	1	3	360
356	89	F25	1	4	515.1
357	90	F03	1	1	90
358	90	F03	1	2	158
359	90	F03	1	3	290
360	90	F03	1	4	426.7
361	91	F22	1	1	50
362	91	F22	1	2	98
363	91	F22	1	3	180
364	91	F22	1	4	274.3
365	92	F18	1	1	85
366	92	F18	1	2	132
367	92	F18	1	3	250
368	92	F18	1	4	387.1
369	93	F10	1	1	80
370	93	F10	1	2	212
371	93	F10	1	3	390
372	93	F10	1	4	612.6
373	94	F07	1	1	69
374	94	F07	1	2	150
375	94	F07	1	3	310
376	94	F07	1	4	463.3
377	95	F01	1	1	78
378	95	F01	1	2	194
379	95	F01	1	3	360
380	95	F01	1	4	582.2
381	96	F09	1	1	71
382	96	F09	1	2	194
383	96	F09	1	3	380
384	96	F09	1	4	570
385	97	F07	1	1	98
386	97	F07	1	2	198
387	97	F07	1	3	390
388	97	F07	1	4	527.3
389	98	F02	1	1	111
390	98	F02	1	2	269
391	98	F02	1	3	450
392	98	F02	1	4	609.6
393	99	F14	1	1	100
394	99	F14	1	2	198
395	99	F14	1	3	345
396	99	F14	1	4	506
397	100	F11	1	1	57
398	100	F11	1	2	168
399	100	F11	1	3	340
400	100	F11	1	4	524.3
401	101	F01	1	1	80
402	101	F01	1	2	192
403	101	F01	1	3	350
404	101	F01	1	4	524.3
405	102	F02	1	1	113
406	102	F02	1	2	278
407	102	F02	1	3	470
408	102	F02	1	4	661.4
409	103	F25	1	1	74
410	103	F25	1	2	194
411	103	F25	1	3	390
412	103	F25	1	4	612.6
413	104	F09	1	1	83
414	104	F09	1	2	190
415	104	F09	1	3	310
416	104	F09	1	4	384
417	105	F05	1	1	55
418	105	F05	1	2	122
419	105	F05	1	3	275
420	105	F05	1	4	405.4
421	106	F23	1	1	66
422	106	F23	1	2	108
423	106	F23	1	3	250
424	106	F23	1	4	371.9
425	107	F03	1	1	80
426	107	F03	1	2	108
427	107	F03	1	3	210
428	107	F03	1	4	344.4
429	108	F03	1	1	78
430	108	F03	1	2	172
431	108	F03	1	3	260
432	108	F03	1	4	338.3
433	109	F04	1	1	77
434	109	F04	1	2	164
435	109	F04	1	3	300
436	109	F04	1	4	451.1
437	110	F15	1	1	94
438	110	F15	1	2	132
439	110	F15	1	3	185
440	110	F15	1	4	*
441	111	F04	1	1	100
442	111	F04	1	2	218
443	111	F04	1	3	385
444	111	F04	1	4	588.3
445	112	F05	1	1	88
446	112	F05	1	2	230
447	112	F05	1	3	410
448	112	F05	1	4	591.3
449	113	F16	1	1	84
450	113	F16	1	2	208
451	113	F16	1	3	405
452	113	F16	1	4	582.2
453	114	F03	1	1	96
454	114	F03	1	2	196
455	114	F03	1	3	380
456	114	F03	1	4	566.9
457	115	F19	1	1	81
458	115	F19	1	2	196
459	115	F19	1	3	370
460	115	F19	1	4	521.2
461	116	F09	1	1	54
462	116	F09	1	2	140
463	116	F09	1	3	280
464	116	F09	1	4	502.9
465	117	F26	1	1	33
466	117	F26	1	2	56
467	117	F26	1	3	*
468	117	F26	1	4	*
469	118	F15	1	1	84
470	118	F15	1	2	164
471	118	F15	1	3	280
472	118	F15	1	4	454.2
473	119	F05	1	1	107
474	119	F05	1	2	216
475	119	F05	1	3	380
476	119	F05	1	4	591.3
477	120	F23	1	1	98
478	120	F23	1	2	241
479	120	F23	1	3	400
480	120	F23	1	4	615.7
481	121	F09	1	1	96
482	121	F09	1	2	208
483	121	F09	1	3	370
484	121	F09	1	4	594.4
485	122	F16	1	1	83
486	122	F16	1	2	204
487	122	F16	1	3	395
488	122	F16	1	4	603.5
489	123	F16	1	1	97
490	123	F16	1	2	200
491	123	F16	1	3	350
492	123	F16	1	4	512.1
493	124	F15	1	1	70
494	124	F15	1	2	170
495	124	F15	1	3	310
496	124	F15	1	4	454.2
497	125	F24	1	1	97
498	125	F24	1	2	186
499	125	F24	1	3	355
500	125	F24	1	4	548.6
501	126	F02	1	1	72
502	126	F02	1	2	182
503	126	F02	1	3	360
504	126	F02	1	4	524.3
505	127	F08	1	1	72
506	127	F08	1	2	140
507	127	F08	1	3	260
508	127	F08	1	4	463.3
509	128	F19	1	1	42
510	128	F19	1	2	128
511	128	F19	1	3	285
512	128	F19	1	4	454.2
513	129	F03	1	1	77
514	129	F03	1	2	122
515	129	F03	1	3	245
516	129	F03	1	4	399.3
517	130	F02	1	1	64
518	130	F02	1	2	188
519	130	F02	1	3	320
520	130	F02	1	4	542.5
521	131	F12	1	1	*
522	131	F12	1	2	230
523	131	F12	1	3	420
524	131	F12	1	4	624.8
525	132	F19	1	1	70
526	132	F19	1	2	226
527	132	F19	1	3	330
528	132	F19	1	4	518.2
529	133	F09	1	1	45
530	133	F09	1	2	210
531	133	F09	1	3	340
532	133	F09	1	4	615.7
533	134	F15	1	1	72
534	134	F15	1	2	238
535	134	F15	1	3	380
536	134	F15	1	4	624.8
537	135	F05	1	1	96
538	135	F05	1	2	218
539	135	F05	1	3	425
540	135	F05	1	4	548.6
541	136	F13	1	1	47
542	136	F13	1	2	212
543	136	F13	1	3	410
544	136	F13	1	4	566.9
545	137	F04	1	1	72
546	137	F04	1	2	210
547	137	F04	1	3	400
548	137	F04	1	4	594.4
549	138	F18	1	1	122
550	138	F18	1	2	242
551	138	F18	1	3	370
552	138	F18	1	4	469.4
553	139	F19	1	1	88
554	139	F19	1	2	244
555	139	F19	1	3	475
556	139	F19	1	4	649.2
557	140	F15	1	1	106
558	140	F15	1	2	262
559	140	F15	1	3	365
560	140	F15	1	4	457.2
561	141	F19	1	1	98
562	141	F19	1	2	200
563	141	F19	1	3	365
564	141	F19	1	4	579.1
565	142	F19	1	1	128
566	142	F19	1	2	247
567	142	F19	1	3	415
568	142	F19	1	4	566.9
569	143	F24	1	1	80
570	143	F24	1	2	162
571	143	F24	1	3	320
572	143	F24	1	4	496.8
573	144	F08	1	1	78
574	144	F08	1	2	146
575	144	F08	1	3	265
576	144	F08	1	4	435.9
577	145	F12	1	1	44
578	145	F12	1	2	124
579	145	F12	1	3	310
580	145	F12	1	4	472.4
581	146	F06	1	1	50
582	146	F06	1	2	120
583	146	F06	1	3	250
584	146	F06	1	4	405.4
585	147	F08	1	1	*
586	147	F08	1	2	*
587	147	F08	1	3	*
588	147	F08	1	4	*
589	148	F08	1	1	58
590	148	F08	1	2	98
591	148	F08	1	3	195
592	148	F08	1	4	320
593	149	F04	1	1	70
594	149	F04	1	2	128
595	149	F04	1	3	250
596	149	F04	1	4	417.6
597	150	F17	1	1	57
598	150	F17	1	2	106
599	150	F17	1	3	215
600	150	F17	1	4	417.6
601	151	F26	1	1	96
602	151	F26	1	2	216
603	151	F26	1	3	360
604	151	F26	1	4	573
605	152	F06	1	1	100
606	152	F06	1	2	202
607	152	F06	1	3	350
608	152	F06	1	4	576.1
609	153	F12	1	1	125
610	153	F12	1	2	254
611	153	F12	1	3	465
612	153	F12	1	4	652.3
613	154	F08	1	1	91
614	154	F08	1	2	204
615	154	F08	1	3	400
616	154	F08	1	4	579.1
617	155	F01	1	1	109
618	155	F01	1	2	228
619	155	F01	1	3	360
620	155	F01	1	4	536.4
621	156	F09	1	1	66
622	156	F09	1	2	140
623	156	F09	1	3	290
624	156	F09	1	4	536.4
625	157	F19	1	1	67
626	157	F19	1	2	154
627	157	F19	1	3	320
628	157	F19	1	4	499.9
629	158	F15	1	1	134
630	158	F15	1	2	245
631	158	F15	1	3	430
632	158	F15	1	4	591.3
633	159	F12	1	1	120
634	159	F12	1	2	252
635	159	F12	1	3	440
636	159	F12	1	4	594.4
637	160	F05	1	1	94
638	160	F05	1	2	231
639	160	F05	1	3	380
640	160	F05	1	4	606.6
641	161	F20	1	1	57
642	161	F20	1	2	128
643	161	F20	1	3	270
644	161	F20	1	4	435.9
645	162	F16	1	1	97
646	162	F16	1	2	208
647	162	F16	1	3	340
648	162	F16	1	4	509
649	163	F02	1	1	89
650	163	F02	1	2	190
651	163	F02	1	3	365
652	163	F02	1	4	588.3
653	164	F06	1	1	107
654	164	F06	1	2	230
655	164	F06	1	3	425
656	164	F06	1	4	591.3
657	165	F26	1	1	86
658	165	F26	1	2	184
659	165	F26	1	3	360
660	165	F26	1	4	554.7
661	166	F15	1	1	35
662	166	F15	1	2	82
663	166	F15	1	3	165
664	166	F15	1	4	301.8
665	167	F04	1	1	68
666	167	F04	1	2	122
667	167	F04	1	3	290
668	167	F04	1	4	469.4
669	168	F17	1	1	70
670	168	F17	1	2	136
671	168	F17	1	3	260
672	168	F17	1	4	374.9
673	169	F17	1	1	88
674	169	F17	1	2	166
675	169	F17	1	3	350
676	169	F17	1	4	533.4
677	170	F24	1	1	80
678	170	F24	1	2	106
679	170	F24	1	3	290
680	170	F24	1	4	472.4
681	171	F17	1	1	60
682	171	F17	1	2	124
683	171	F17	1	3	320
684	171	F17	1	4	527.3
685	172	F19	1	1	100
686	172	F19	1	2	208
687	172	F19	1	3	370
688	172	F19	1	4	542.5
689	173	F15	1	1	96
690	173	F15	1	2	192
691	173	F15	1	3	220
692	173	F15	1	4	*
693	174	F05	1	1	*
694	174	F05	1	2	*
695	174	F05	1	3	*
696	174	F05	1	4	*
697	175	F15	1	1	104
698	175	F15	1	2	226
699	175	F15	1	3	380
700	175	F15	1	4	609.6
701	176	F06	1	1	78
702	176	F06	1	2	161
703	176	F06	1	3	320
704	176	F06	1	4	460.2
705	177	F05	1	1	114
706	177	F05	1	2	242
707	177	F05	1	3	380
708	177	F05	1	4	566.9
709	178	F06	1	1	76
710	178	F06	1	2	214
711	178	F06	1	3	410
712	178	F06	1	4	612.6
713	179	F03	1	1	100
714	179	F03	1	2	218
715	179	F03	1	3	390
716	179	F03	1	4	533.4
717	180	F15	1	1	102
718	180	F15	1	2	242
719	180	F15	1	3	390
720	180	F15	1	4	554.7
721	181	F15	1	1	122
722	181	F15	1	2	236
723	181	F15	1	3	410
724	181	F15	1	4	548.6
725	182	F04	1	1	78
726	182	F04	1	2	168
727	182	F04	1	3	360
728	182	F04	1	4	512.1
729	183	F12	1	1	73
730	183	F12	1	2	130
731	183	F12	1	3	235
732	183	F12	1	4	137.2
733	184	F15	1	1	66
734	184	F15	1	2	160
735	184	F15	1	3	295
736	184	F15	1	4	429.8
737	185	F06	1	1	58
738	185	F06	1	2	132
739	185	F06	1	3	320
740	185	F06	1	4	417.6
741	186	F04	1	1	*
742	186	F04	1	2	*
743	186	F04	1	3	*
744	186	F04	1	4	*
745	187	F23	1	1	77
746	187	F23	1	2	176
747	187	F23	1	3	280
748	187	F23	1	4	423.7
749	188	F19	1	1	113
750	188	F19	1	2	234
751	188	F19	1	3	380
752	188	F19	1	4	576.1
753	189	F15	1	1	125
754	189	F15	1	2	218
755	189	F15	1	3	230
756	189	F15	1	4	362.7
757	190	F20	1	1	104
758	190	F20	1	2	228
759	190	F20	1	3	390
760	190	F20	1	4	585.2
761	191	F04	1	1	81
762	191	F04	1	2	198
763	191	F04	1	3	390
764	191	F04	1	4	588.3
765	192	F19	1	1	91
766	192	F19	1	2	230
767	192	F19	1	3	420
768	192	F19	1	4	594.4
769	193	F12	1	1	103
770	193	F12	1	2	204
771	193	F12	1	3	440
772	193	F12	1	4	640.1
773	194	F06	1	1	86
774	194	F06	1	2	247
775	194	F06	1	3	455
776	194	F06	1	4	688.8
777	195	F03	1	1	84
778	195	F03	1	2	166
779	195	F03	1	3	330
780	195	F03	1	4	490.7
781	196	F12	1	1	103
782	196	F12	1	2	224
783	196	F12	1	3	405
784	196	F12	1	4	634
785	197	F19	1	1	76
786	197	F19	1	2	192
787	197	F19	1	3	365
788	197	F19	1	4	548.6
789	198	F20	1	1	63
790	198	F20	1	2	168
791	198	F20	1	3	325
792	198	F20	1	4	539.5
793	199	F15	1	1	100
794	199	F15	1	2	242
795	199	F15	1	3	375
796	199	F15	1	4	606.6
797	200	F06	1	1	86
798	200	F06	1	2	190
799	200	F06	1	3	325
800	200	F06	1	4	536.4
801	201	F08	1	1	90
802	201	F08	1	2	202
803	201	F08	1	3	370
804	201	F08	1	4	539.5
805	202	F06	1	1	102
806	202	F06	1	2	208
807	202	F06	1	3	400
808	202	F06	1	4	618.7
809	203	F26	1	1	50
810	203	F26	1	2	218
811	203	F26	1	3	385
812	203	F26	1	4	557.8
813	204	F10	1	1	93
814	204	F10	1	2	192
815	204	F10	1	3	340
816	204	F10	1	4	493.8
817	205	F08	1	1	123
818	205	F08	1	2	234
819	205	F08	1	3	420
820	205	F08	1	4	585.2
821	206	F09	1	1	77
822	206	F09	1	2	148
823	206	F09	1	3	265
824	206	F09	1	4	414.5
825	207	F15	2	1	70
826	207	F15	2	2	186
827	207	F15	2	3	305
828	207	F15	2	4	466.3
829	208	F05	2	1	100
830	208	F05	2	2	166
831	208	F05	2	3	340
832	208	F05	2	4	509
833	209	F08	2	1	78
834	209	F08	2	2	194
835	209	F08	2	3	360
836	209	F08	2	4	545.6
837	210	F15	2	1	102
838	210	F15	2	2	222
839	210	F15	2	3	400
840	210	F15	2	4	563.9
841	211	F16	2	1	65
842	211	F16	2	2	198
843	211	F16	2	3	400
844	211	F16	2	4	570
845	212	F05	2	1	58
846	212	F05	2	2	112
847	212	F05	2	3	285
848	212	F05	2	4	445
849	213	F13	2	1	85
850	213	F13	2	2	218
851	213	F13	2	3	390
852	213	F13	2	4	566.9
853	214	F15	2	1	108
854	214	F15	2	2	220
855	214	F15	2	3	340
856	214	F15	2	4	536.4
857	215	F03	2	1	110
858	215	F03	2	2	218
859	215	F03	2	3	410
860	215	F03	2	4	600.5
861	216	F06	2	1	121
862	216	F06	2	2	244
863	216	F06	2	3	435
864	216	F06	2	4	591.3
865	217	F04	2	1	108
866	217	F04	2	2	266
867	217	F04	2	3	480
868	217	F04	2	4	646.2
869	218	F12	2	1	90
870	218	F12	2	2	200
871	218	F12	2	3	355
872	218	F12	2	4	560.8
873	219	F26	2	1	129
874	219	F26	2	2	242
875	219	F26	2	3	435
876	219	F26	2	4	649.2
877	220	F26	2	1	80
878	220	F26	2	2	256
879	220	F26	2	3	470
880	220	F26	2	4	694.9
881	221	F24	2	1	104
882	221	F24	2	2	293
883	221	F24	2	3	500
884	221	F24	2	4	704.1
885	222	F08	2	1	114
886	222	F08	2	2	220
887	222	F08	2	3	340
888	222	F08	2	4	496.8
889	223	F12	2	1	98
890	223	F12	2	2	218
891	223	F12	2	3	410
892	223	F12	2	4	621.8
893	224	F06	2	1	111
894	224	F06	2	2	232
895	224	F06	2	3	415
896	224	F06	2	4	640.1
897	225	F15	2	1	123
898	225	F15	2	2	238
899	225	F15	2	3	400
900	225	F15	2	4	570
901	226	F19	2	1	106
902	226	F19	2	2	206
903	226	F19	2	3	350
904	226	F19	2	4	524.3
905	227	F19	2	1	69
906	227	F19	2	2	96
907	227	F19	2	3	*
908	227	F19	2	4	*
909	228	F12	2	1	105
910	228	F12	2	2	260
911	228	F12	2	3	445
912	228	F12	2	4	618.7
913	229	F03	2	1	102
914	229	F03	2	2	172
915	229	F03	2	3	330
916	229	F03	2	4	548.6
917	230	F06	2	1	136
918	230	F06	2	2	266
919	230	F06	2	3	430
920	230	F06	2	4	691.9
921	231	F19	2	1	105
922	231	F19	2	2	224
923	231	F19	2	3	390
924	231	F19	2	4	429.8
925	232	F01	2	1	95
926	232	F01	2	2	218
927	232	F01	2	3	400
928	232	F01	2	4	594.4
929	233	F26	2	1	76
930	233	F26	2	2	232
931	233	F26	2	3	265
932	233	F26	2	4	472.4
933	234	F15	2	1	60
934	234	F15	2	2	176
935	234	F15	2	3	280
936	234	F15	2	4	396.2
937	235	F05	2	1	77
938	235	F05	2	2	206
939	235	F05	2	3	370
940	235	F05	2	4	576.1
941	236	F03	2	1	124
942	236	F03	2	2	277
943	236	F03	2	3	510
944	236	F03	2	4	691.9
945	237	F12	2	1	117
946	237	F12	2	2	202
947	237	F12	2	3	400
948	237	F12	2	4	621.8
949	238	F09	2	1	106
950	238	F09	2	2	202
951	238	F09	2	3	410
952	238	F09	2	4	594.4
953	239	F04	2	1	97
954	239	F04	2	2	218
955	239	F04	2	3	400
956	239	F04	2	4	566.9
957	240	F04	2	1	64
958	240	F04	2	2	216
959	240	F04	2	3	340
960	240	F04	2	4	557.8
961	241	F08	2	1	88
962	241	F08	2	2	178
963	241	F08	2	3	340
964	241	F08	2	4	487.7
965	242	F15	2	1	70
966	242	F15	2	2	188
967	242	F15	2	3	360
968	242	F15	2	4	539.5
969	243	F04	2	1	99
970	243	F04	2	2	224
971	243	F04	2	3	390
972	243	F04	2	4	576.1
973	244	F06	2	1	117
974	244	F06	2	2	226
975	244	F06	2	3	380
976	244	F06	2	4	582.2
977	245	F08	2	1	70
978	245	F08	2	2	146
979	245	F08	2	3	350
980	245	F08	2	4	576.1
981	246	F23	2	1	113
982	246	F23	2	2	245
983	246	F23	2	3	490
984	246	F23	2	4	676.7
985	247	F19	2	1	112
986	247	F19	2	2	258
987	247	F19	2	3	450
988	247	F19	2	4	661.4
989	248	F02	2	1	134
990	248	F02	2	2	252
991	248	F02	2	3	440
