ID	REP	ROW	COL	PLOT	TREE	FEMALE	X	Y	YA
1	2	4	1	14	2	4	1	1	8.628352
2	2	4	1	14	1	4	1	2	7.718902
3	2	3	1	26	2	7	1	3	8.041164
4	2	3	1	26	1	7	1	4	9.593278
5	2	2	1	62	2	16	1	5	8.739841
6	2	2	1	62	1	16	1	6	8.456119
7	2	1	1	50	2	13	1	7	9.557565
8	2	1	1	50	1	13	1	8	10.639179
9	1	4	1	1	2	1	1	9	9.938713
10	1	4	1	1	1	1	1	10	8.332414
11	1	3	1	53	2	14	1	11	10.495654
12	1	3	1	53	1	14	1	12	10.130853
13	1	2	1	37	2	10	1	13	11.983712
14	1	2	1	37	1	10	1	14	12.080121
15	1	1	1	33	2	9	1	15	11.203263
16	1	1	1	33	1	9	1	16	10.757546
17	2	4	1	14	4	4	2	1	9.797591
18	2	4	1	14	3	4	2	2	9.206996
19	2	3	1	26	4	7	2	3	8.786462
20	2	3	1	26	3	7	2	4	10.650088
21	2	2	1	62	4	16	2	5	9.091012
22	2	2	1	62	3	16	2	6	10.439434
23	2	1	1	50	4	13	2	7	10.101078
24	2	1	1	50	3	13	2	8	9.877924
25	1	4	1	1	4	1	2	9	9.396685
26	1	4	1	1	3	1	2	10	8.833243
27	1	3	1	53	4	14	2	11	9.675085
28	1	3	1	53	3	14	2	12	10.048748
29	1	2	1	37	4	10	2	13	11.29504
30	1	2	1	37	3	10	2	14	11.957024
31	1	1	1	33	4	9	2	15	10.727204
32	1	1	1	33	3	9	2	16	9.563843
33	2	4	2	42	2	11	3	1	8.763885
34	2	4	2	42	1	11	3	2	8.887516
35	2	3	2	58	2	15	3	3	8.754085
36	2	3	2	58	1	15	3	4	9.332127
37	2	2	2	18	2	5	3	5	9.015499
38	2	2	2	18	1	5	3	6	10.134031
39	2	1	2	22	2	6	3	7	10.823659
40	2	1	2	22	1	6	3	8	10.516701
41	1	4	2	5	2	2	3	9	10.881542
42	1	4	2	5	1	2	3	10	10.837548
43	1	3	2	29	2	8	3	11	10.010517
44	1	3	2	29	1	8	3	12	9.482563
45	1	2	2	9	2	3	3	13	10.31252
46	1	2	2	9	1	3	3	14	10.379925
47	1	1	2	45	2	12	3	15	9.376038
48	1	1	2	45	1	12	3	16	9.083294
49	2	4	2	42	4	11	4	1	9.376558
50	2	4	2	42	3	11	4	2	9.655747
51	2	3	2	58	4	15	4	3	8.981834
52	2	3	2	58	3	15	4	4	10.112855
53	2	2	2	18	4	5	4	5	8.818453
54	2	2	2	18	3	5	4	6	9.364
55	2	1	2	22	4	6	4	7	9.925738
56	2	1	2	22	3	6	4	8	9.92102
57	1	4	2	5	4	2	4	9	9.950983
58	1	4	2	5	3	2	4	10	10.238108
59	1	3	2	29	4	8	4	11	10.059038
60	1	3	2	29	3	8	4	12	9.918777
61	1	2	2	9	4	3	4	13	9.785952
62	1	2	2	9	3	3	4	14	10.512299
63	1	1	2	45	4	12	4	15	10.577824
64	1	1	2	45	3	12	4	16	8.975016
65	2	4	3	30	2	8	5	1	9.368379
66	2	4	3	30	1	8	5	2	8.45701
67	2	3	3	46	2	12	5	3	8.527266
68	2	3	3	46	1	12	5	4	9.094307
69	2	2	3	54	2	14	5	5	8.632895
70	2	2	3	54	1	14	5	6	9.892142
71	2	1	3	34	2	9	5	7	9.940912
72	2	1	3	34	1	9	5	8	9.984166
73	1	4	3	21	2	6	5	9	10.33309
74	1	4	3	21	1	6	5	10	9.770513
75	1	3	3	25	2	7	5	11	9.160495
76	1	3	3	25	1	7	5	12	10.891092
77	1	2	3	41	2	11	5	13	10.165703
78	1	2	3	41	1	11	5	14	9.701261
79	1	1	3	61	2	16	5	15	9.314549
80	1	1	3	61	1	16	5	16	8.478538
81	2	4	3	30	4	8	6	1	9.58983
82	2	4	3	30	3	8	6	2	7.716371
83	2	3	3	46	4	12	6	3	9.124738
84	2	3	3	46	3	12	6	4	8.689306
85	2	2	3	54	4	14	6	5	9.476977
86	2	2	3	54	3	14	6	6	9.369512
87	2	1	3	34	4	9	6	7	9.938339
88	2	1	3	34	3	9	6	8	9.792687
89	1	4	3	21	4	6	6	9	10.576264
90	1	4	3	21	3	6	6	10	9.824338
91	1	3	3	25	4	7	6	11	10.04053
92	1	3	3	25	3	7	6	12	10.043429
93	1	2	3	41	4	11	6	13	9.738282
94	1	2	3	41	3	11	6	14	9.877991
95	1	1	3	61	4	16	6	15	9.67295
96	1	1	3	61	3	16	6	16	9.658095
97	2	4	4	2	2	1	7	1	10.013968
98	2	4	4	2	1	1	7	2	9.899751
99	2	3	4	38	2	10	7	3	11.726108
100	2	3	4	38	1	10	7	4	11.103123
101	2	2	4	6	2	2	7	5	8.190233
