Genotype	Control	Rep	X	Y	YD
690	0	2	1	1	11.4
458	0	2	1	2	10.44
589	0	2	1	3	10.98
425	0	2	1	4	11.74
431	0	2	1	5	11.66
77	0	2	1	6	10.82
750	0	2	1	7	11.19
146	0	2	1	8	8.4
813	0	2	1	9	9.12
718	0	2	1	10	11.06
355	0	2	1	11	7.42
81	0	2	1	12	11.06
25	0	2	1	13	12.01
168	0	2	1	14	11.19
493	0	2	1	15	9.34
1006	1	2	1	16	11.3
68	0	1	1	17	9.48
419	0	1	1	18	9.45
1010	1	1	1	19	10.27
1005	1	1	1	20	11.07
1006	1	1	1	21	9.94
609	0	1	1	22	8.09
429	0	1	1	23	8.77
1008	1	1	1	24	9.85
6	0	1	1	25	7.91
616	0	1	1	26	9.96
334	0	1	1	27	11.5
658	0	1	1	28	10.04
194	0	1	1	29	7.87
656	0	1	1	30	10.92
389	0	1	1	31	9.89
601	0	1	1	32	7.97
788	0	2	2	1	11.06
512	0	2	2	2	9.77
607	0	2	2	3	9.19
1004	1	2	2	4	10.01
202	0	2	2	5	10.78
739	0	2	2	6	9.76
310	0	2	2	7	10.35
408	0	2	2	8	9.3
723	0	2	2	9	12.17
400	0	2	2	10	9.86
1004	1	2	2	11	9.99
1001	1	2	2	12	8.91
1005	1	2	2	13	9.68
260	0	2	2	14	11.84
655	0	2	2	15	8.48
357	0	2	2	16	10.34
726	0	1	2	17	10.17
1006	1	1	2	18	10.78
665	0	1	2	19	9.76
1007	1	1	2	20	11.93
1004	1	1	2	21	10.06
542	0	1	2	22	10.55
392	0	1	2	23	10.12
193	0	1	2	24	10.21
568	0	1	2	25	9.3
1004	1	1	2	26	7.97
22	0	1	2	27	9.78
703	0	1	2	28	10.62
437	0	1	2	29	9.66
1007	1	1	2	30	9.47
104	0	1	2	31	6.72
151	0	1	2	32	10.28
593	0	2	3	1	9.91
198	0	2	3	2	8.61
307	0	2	3	3	10.76
364	0	2	3	4	8.85
523	0	2	3	5	9.39
409	0	2	3	6	10.53
621	0	2	3	7	11.12
538	0	2	3	8	10.3
552	0	2	3	9	10.16
1005	1	2	3	10	8.78
356	0	2	3	11	10.36
779	0	2	3	12	9.84
274	0	2	3	13	9.32
439	0	2	3	14	10.72
822	0	2	3	15	8.6
1007	1	2	3	16	10.27
650	0	1	3	17	8.96
179	0	1	3	18	9.87
488	0	1	3	19	11.16
610	0	1	3	20	10.34
755	0	1	3	21	10
1009	1	1	3	22	10.66
709	0	1	3	23	9.4
697	0	1	3	24	9.61
309	0	1	3	25	10.18
481	0	1	3	26	10.63
537	0	1	3	27	9.79
696	0	1	3	28	10.93
1001	1	1	3	29	9.87
1004	1	1	3	30	10.55
1002	1	1	3	31	10.38
1008	1	1	3	32	9.9
196	0	2	4	1	8.64
1010	1	2	4	2	10.49
359	0	2	4	3	8.66
1009	1	2	4	4	8.3
793	0	2	4	5	9.06
1003	1	2	4	6	9.84
597	0	2	4	7	9.63
1003	1	2	4	8	9.62
97	0	2	4	9	9.99
654	0	2	4	10	10.6
477	0	2	4	11	8.62
802	0	2	4	12	11.47
414	0	2	4	13	9.95
381	0	2	4	14	11.77
385	0	2	4	15	10.47
580	0	2	4	16	9.94
107	0	1	4	17	9.92
401	0	1	4	18	9.5
53	0	1	4	19	12.83
724	0	1	4	20	11.7
69	0	1	4	21	12.14
230	0	1	4	22	10.66
527	0	1	4	23	10.04
286	0	1	4	24	11.23
651	0	1	4	25	11.18
1003	1	1	4	26	9.34
509	0	1	4	27	9.21
554	0	1	4	28	10.44
1008	1	1	4	29	11.08
39	0	1	4	30	8.86
1003	1	1	4	31	11.16
365	0	1	4	32	10.75
737	0	2	5	1	9.47
533	0	2	5	2	9.8
363	0	2	5	3	8.78
218	0	2	5	4	11.39
209	0	2	5	5	11.88
674	0	2	5	6	9.63
1009	1	2	5	7	10.76
710	0	2	5	8	10.22
1007	1	2	5	9	9.08
203	0	2	5	10	11.46
345	0	2	5	11	10.64
102	0	2	5	12	10.26
208	0	2	5	13	10.87
623	0	2	5	14	11.05
821	0	2	5	15	10.25
303	0	2	5	16	11.77
251	0	1	5	17	10.04
444	0	1	5	18	9.86
223	0	1	5	19	11.05
1006	1	1	5	20	10.67
721	0	1	5	21	11.74
347	0	1	5	22	12.16
135	0	1	5	23	9.8
745	0	1	5	24	8.11
158	0	1	5	25	9.88
487	0	1	5	26	9.64
297	0	1	5	27	9.44
152	0	1	5	28	9.56
176	0	1	5	29	11.26
584	0	1	5	30	10.9
167	0	1	5	31	10.5
91	0	1	5	32	8.77
663	0	2	6	1	8.92
565	0	2	6	2	9.76
617	0	2	6	3	9.95
149	0	2	6	4	9
212	0	2	6	5	9.91
336	0	2	6	6	11.32
252	0	2	6	7	9.49
734	0	2	6	8	9.19
546	0	2	6	9	10.4
1010	1	2	6	10	10.42
1006	1	2	6	11	10.62
473	0	2	6	12	11.27
796	0	2	6	13	10.34
823	0	2	6	14	10.48
1001	1	2	6	15	8.67
33	0	2	6	16	10.59
447	0	1	6	17	11.35
433	0	1	6	18	8.45
112	0	1	6	19	10.26
247	0	1	6	20	9.35
187	0	1	6	21	10.5
127	0	1	6	22	11.27
786	0	1	6	23	9.55
269	0	1	6	24	9.15
1008	1	1	6	25	10.31
1005	1	1	6	26	9.91
82	0	1	6	27	9.62
456	0	1	6	28	10.54
689	0	1	6	29	11.11
810	0	1	6	30	10.5
815	0	1	6	31	8.15
526	0	1	6	32	10.33
195	0	2	7	1	10.09
1010	1	2	7	2	9.91
619	0	2	7	3	10.3
84	0	2	7	4	7.72
824	0	2	7	5	8.95
814	0	2	7	6	9.6
749	0	2	7	7	9.61
1006	1	2	7	8	9.8
10	0	2	7	9	7.52
399	0	2	7	10	9.98
211	0	2	7	11	9.33
563	0	2	7	12	9.62
207	0	2	7	13	10.03
205	0	2	7	14	9.29
1004	1	2	7	15	8.21
1002	1	2	7	16	11.28
16	0	1	7	17	9.04
732	0	1	7	18	9.97
422	0	1	7	19	8.36
314	0	1	7	20	10.7
201	0	1	7	21	9.54
1006	1	1	7	22	10.61
741	0	1	7	23	8.72
370	0	1	7	24	9.76
784	0	1	7	25	9.58
676	0	1	7	26	9.27
1009	1	1	7	27	11.45
180	0	1	7	28	9.85
261	0	1	7	29	8.77
243	0	1	7	30	11.89
388	0	1	7	31	9.9
308	0	1	7	32	9.92
516	0	2	8	1	8.88
472	0	2	8	2	9.78
576	0	2	8	3	9.31
1008	1	2	8	4	10.9
801	0	2	8	5	9.91
1008	1	2	8	6	10.76
464	0	2	8	7	9.48
103	0	2	8	8	10.64
517	0	2	8	9	9.63
744	0	2	8	10	8.38
577	0	2	8	11	8.61
379	0	2	8	12	10.83
