ID	REP	IBLOCK	PLOT	INDIV	GENOTYPE	YD
1	1	1	1	1	1	8.33
2	1	1	1	2	1	9.94
3	1	1	1	3	1	8.83
4	1	1	1	4	1	9.40
5	1	1	2	1	2	10.84
6	1	1	2	2	2	10.88
7	1	1	2	3	2	10.24
8	1	1	2	4	2	9.95
9	1	1	3	1	3	10.38
10	1	1	3	2	3	10.31
11	1	1	3	3	3	10.51
12	1	1	3	4	3	9.79
13	1	1	4	1	4	10.33
14	1	1	4	2	4	9.01
15	1	1	4	3	4	11.00
16	1	1	4	4	4	10.04
17	1	2	5	1	5	10.17
18	1	2	5	2	5	11.11
19	1	2	5	3	5	11.26
20	1	2	5	4	5	10.50
21	1	2	6	1	6	9.77
22	1	2	6	2	6	10.33
23	1	2	6	3	6	9.82
24	1	2	6	4	6	10.58
25	1	2	7	1	7	10.89
26	1	2	7	2	7	9.16
27	1	2	7	3	7	10.04
28	1	2	7	4	7	10.04
29	1	2	8	1	8	9.48
30	1	2	8	2	8	10.01
31	1	2	8	3	8	9.92
32	1	2	8	4	8	10.06
33	1	3	9	1	9	10.76
34	1	3	9	2	9	11.20
35	1	3	9	3	9	9.56
36	1	3	9	4	9	10.73
37	1	3	10	1	10	12.08
38	1	3	10	2	10	11.98
39	1	3	10	3	10	11.96
40	1	3	10	4	10	11.30
41	1	3	11	1	11	9.70
42	1	3	11	2	11	10.17
43	1	3	11	3	11	9.88
44	1	3	11	4	11	9.74
45	1	3	12	1	12	9.08
46	1	3	12	2	12	9.38
47	1	3	12	3	12	8.98
48	1	3	12	4	12	10.58
49	1	4	13	1	13	9.21
50	1	4	13	2	13	9.38
51	1	4	13	3	13	9.19
52	1	4	13	4	13	10.42
53	1	4	14	1	14	10.13
54	1	4	14	2	14	10.50
55	1	4	14	3	14	10.05
56	1	4	14	4	14	9.68
57	1	4	15	1	15	8.86
58	1	4	15	2	15	10.43
59	1	4	15	3	15	9.52
60	1	4	15	4	15	9.88
61	1	4	16	1	16	8.48
62	1	4	16	2	16	9.31
63	1	4	16	3	16	9.66
64	1	4	16	4	16	9.67
65	2	1	1	1	1	9.90
66	2	1	1	2	1	10.01
67	2	1	1	3	1	9.09
68	2	1	1	4	1	8.96
69	2	1	2	1	2	9.93
70	2	1	2	2	2	8.19
71	2	1	2	3	2	9.88
72	2	1	2	4	2	9.86
73	2	1	3	1	3	9.47
74	2	1	3	2	3	9.57
75	2	1	3	3	3	9.89
76	2	1	3	4	3	9.33
77	2	1	4	1	4	7.72
78	2	1	4	2	4	8.63
79	2	1	4	3	4	9.21
80	2	1	4	4	4	9.80
81	2	2	5	1	5	10.13
82	2	2	5	2	5	9.02
83	2	2	5	3	5	9.36
84	2	2	5	4	5	8.82
85	2	2	6	1	6	10.52
86	2	2	6	2	6	10.82
87	2	2	6	3	6	9.92
88	2	2	6	4	6	9.93
89	2	2	7	1	7	9.59
90	2	2	7	2	7	8.04
91	2	2	7	3	7	10.65
92	2	2	7	4	7	8.79
93	2	2	8	1	8	8.46
94	2	2	8	2	8	9.37
95	2	2	8	3	8	7.72
96	2	2	8	4	8	9.59
97	2	3	9	1	9	9.98
98	2	3	9	2	9	9.94
99	2	3	9	3	9	9.79
100	2	3	9	4	9	9.94
101	2	3	10	1	10	11.10
102	2	3	10	2	10	11.73
103	2	3	10	3	10	10.96
104	2	3	10	4	10	10.41
105	2	3	11	1	11	8.89
106	2	3	11	2	11	8.76
107	2	3	11	3	11	9.66
108	2	3	11	4	11	9.38
109	2	3	12	1	12	9.09
110	2	3	12	2	12	8.53
111	2	3	12	3	12	8.69
112	2	3	12	4	12	9.12
113	2	4	13	1	13	10.64
114	2	4	13	2	13	9.56
115	2	4	13	3	13	9.88
116	2	4	13	4	13	10.10
117	2	4	14	1	14	9.89
118	2	4	14	2	14	8.63
