INDIV	FEMALE	MALE
1	FEM1	0
2	FEM1	0
3	FEM1	0
4	FEM1	0
5	FEM1	0
6	FEM1	0
7	FEM15	0
8	FEM15	0
9	FEM15	0
10	FEM15	0
11	FEM15	0
12	FEM15	0
13	FEM2	0
14	FEM2	0
15	FEM2	0
16	FEM2	0
17	FEM2	0
18	FEM2	0
19	FEM16	0
20	FEM16	0
21	FEM16	0
22	FEM16	0
23	FEM16	0
24	FEM16	0
25	FEM3	0
26	FEM3	0
27	FEM3	0
28	FEM3	0
29	FEM3	0
30	FEM3	0
31	FEM17	0
32	FEM17	0
33	FEM17	0
34	FEM17	0
35	FEM17	0
36	FEM17	0
37	FEM4	0
38	FEM4	0
39	FEM4	0
40	FEM4	0
41	FEM4	0
42	FEM4	0
43	C3	0
44	C3	0
45	C3	0
46	C3	0
47	C3	0
48	C3	0
49	FEM5	0
50	FEM5	0
51	FEM5	0
52	FEM5	0
53	FEM5	0
54	FEM5	0
55	C2	0
56	C2	0
57	C2	0
58	C2	0
59	C2	0
60	C2	0
61	FEM6	0
62	FEM6	0
63	FEM6	0
64	FEM6	0
65	FEM6	0
66	FEM6	0
67	C1	0
68	C1	0
69	C1	0
70	C1	0
71	C1	0
72	C1	0
73	FEM7	0
74	FEM7	0
75	FEM7	0
76	FEM7	0
77	FEM7	0
78	FEM7	0
79	FEM28	0
80	FEM28	0
81	FEM28	0
82	FEM28	0
83	FEM28	0
84	FEM28	0
85	FEM8	0
86	FEM8	0
87	FEM8	0
88	FEM8	0
89	FEM8	0
90	FEM8	0
91	FEM27	0
92	FEM27	0
93	FEM27	0
94	FEM27	0
95	FEM27	0
96	FEM27	0
97	FEM9	0
98	FEM9	0
99	FEM9	0
100	FEM9	0
101	FEM9	0
102	FEM9	0
103	FEM26	0
104	FEM26	0
105	FEM26	0
106	FEM26	0
107	FEM26	0
108	FEM26	0
109	FEM10	0
110	FEM10	0
111	FEM10	0
112	FEM10	0
113	FEM10	0
114	FEM10	0
115	FEM25	0
116	FEM25	0
117	FEM25	0
118	FEM25	0
119	FEM25	0
120	FEM25	0
121	FEM11	0
122	FEM11	0
123	FEM11	0
124	FEM11	0
125	FEM11	0
126	FEM11	0
127	FEM24	0
128	FEM24	0
129	FEM24	0
130	FEM24	0
131	FEM24	0
132	FEM24	0
133	FEM12	0
134	FEM12	0
135	FEM12	0
136	FEM12	0
137	FEM12	0
138	FEM12	0
139	FEM23	0
140	FEM23	0
141	FEM23	0
142	FEM23	0
143	FEM23	0
144	FEM23	0
145	FEM13	0
146	FEM13	0
147	FEM13	0
148	FEM13	0
149	FEM13	0
150	FEM13	0
151	FEM22	0
152	FEM22	0
153	FEM22	0
154	FEM22	0
155	FEM22	0
156	FEM22	0
157	FEM14	0
158	FEM14	0
159	FEM14	0
160	FEM14	0
161	FEM14	0
162	FEM14	0
163	FEM21	0
164	FEM21	0
165	FEM21	0
166	FEM21	0
167	FEM21	0
168	FEM21	0
169	C1	0
170	C1	0
171	C1	0
172	C1	0
173	C1	0
174	C1	0
175	FEM20	0
176	FEM20	0
177	FEM20	0
178	FEM20	0
179	FEM20	0
180	FEM20	0
181	C2	0
182	C2	0
183	C2	0
184	C2	0
185	C2	0
186	C2	0
187	FEM19	0
188	FEM19	0
189	FEM19	0
190	FEM19	0
191	FEM19	0
192	FEM19	0
193	C3	0
194	C3	0
195	C3	0
196	C3	0
197	C3	0
198	C3	0
199	FEM18	0
200	FEM18	0
201	FEM18	0
202	FEM18	0
203	FEM18	0
204	FEM18	0
205	FEM8	0
206	FEM8	0
207	FEM8	0
208	FEM8	0
209	FEM8	0
210	FEM8	0
211	C2	0
212	C2	0
213	C2	0
214	C2	0
215	C2	0
216	C2	0
217	FEM11	0
218	FEM11	0
219	FEM11	0
220	FEM11	0
221	FEM11	0
222	FEM11	0
223	FEM21	0
224	FEM21	0
225	FEM21	0
226	FEM21	0
227	FEM21	0
228	FEM21	0
229	FEM2	0
230	FEM2	0
231	FEM2	0
232	FEM2	0
233	FEM2	0
234	FEM2	0
235	FEM25	0
236	FEM25	0
237	FEM25	0
238	FEM25	0
239	FEM25	0
240	FEM25	0
241	FEM17	0
242	FEM17	0
243	FEM17	0
244	FEM17	0
245	FEM17	0
246	FEM17	0
247	FEM15	0
248	FEM15	0
249	FEM15	0
250	FEM15	0
251	FEM15	0
252	FEM15	0
253	C3	0
254	C3	0
255	C3	0
256	C3	0
257	C3	0
258	C3	0
259	FEM24	0
260	FEM24	0
261	FEM24	0
262	FEM24	0
263	FEM24	0
264	FEM24	0
265	FEM10	0
266	FEM10	0
267	FEM10	0
268	FEM10	0
269	FEM10	0
270	FEM10	0
271	C3	0
272	C3	0
273	C3	0
274	C3	0
275	C3	0
276	C3	0
277	FEM13	0
278	FEM13	0
279	FEM13	0
280	FEM13	0
281	FEM13	0
282	FEM13	0
283	FEM28	0
284	FEM28	0
285	FEM28	0
286	FEM28	0
287	FEM28	0
288	FEM28	0
289	FEM6	0
290	FEM6	0
291	FEM6	0
292	FEM6	0
293	FEM6	0
294	FEM6	0
295	FEM20	0
296	FEM20	0
297	FEM20	0
298	FEM20	0
299	FEM20	0
300	FEM20	0
301	FEM3	0
302	FEM3	0
303	FEM3	0
304	FEM3	0
305	FEM3	0
306	FEM3	0
307	FEM23	0
308	FEM23	0
309	FEM23	0
310	FEM23	0
311	FEM23	0
312	FEM23	0
313	FEM16	0
314	FEM16	0
315	FEM16	0
316	FEM16	0
317	FEM16	0
318	FEM16	0
319	FEM1	0
320	FEM1	0
321	FEM1	0
322	FEM1	0
323	FEM1	0
324	FEM1	0
325	FEM26	0
326	FEM26	0
327	FEM26	0
328	FEM26	0
329	FEM26	0
330	FEM26	0
331	FEM5	0
332	FEM5	0
333	FEM5	0
334	FEM5	0
335	FEM5	0
336	FEM5	0
337	C1	0
338	C1	0
339	C1	0
340	C1	0
341	C1	0
342	C1	0
343	FEM9	0
344	FEM9	0
345	FEM9	0
346	FEM9	0
347	FEM9	0
348	FEM9	0
349	FEM22	0
350	FEM22	0
351	FEM22	0
352	FEM22	0
353	FEM22	0
354	FEM22	0
355	FEM12	0
356	FEM12	0
357	FEM12	0
358	FEM12	0
359	FEM12	0
360	FEM12	0
361	FEM4	0
362	FEM4	0
363	FEM4	0
364	FEM4	0
365	FEM4	0
366	FEM4	0
367	C2	0
368	C2	0
369	C2	0
370	C2	0
371	C2	0
372	C2	0
373	FEM19	0
374	FEM19	0
375	FEM19	0
376	FEM19	0
377	FEM19	0
378	FEM19	0
379	FEM18	0
380	FEM18	0
381	FEM18	0
382	FEM18	0
383	FEM18	0
384	FEM18	0
385	FEM7	0
386	FEM7	0
387	FEM7	0
388	FEM7	0
389	FEM7	0
390	FEM7	0
391	C1	0
392	C1	0
393	C1	0
394	C1	0
395	C1	0
396	C1	0
397	FEM27	0
398	FEM27	0
399	FEM27	0
400	FEM27	0
401	FEM27	0
402	FEM27	0
403	FEM14	0
404	FEM14	0
405	FEM14	0
406	FEM14	0
407	FEM14	0
408	FEM14	0
409	FEM28	0
410	FEM28	0
411	FEM28	0
412	FEM28	0
413	FEM28	0
414	FEM28	0
415	C2	0
416	C2	0
417	C2	0
418	C2	0
419	C2	0
420	C2	0
421	FEM2	0
422	FEM2	0
423	FEM2	0
424	FEM2	0
425	FEM2	0
426	FEM2	0
427	FEM4	0
428	FEM4	0
429	FEM4	0
430	FEM4	0
431	FEM4	0
432	FEM4	0
433	FEM10	0
434	FEM10	0
435	FEM10	0
436	FEM10	0
437	FEM10	0
438	FEM10	0
439	FEM25	0
440	FEM25	0
441	FEM25	0
442	FEM25	0
443	FEM25	0
444	FEM25	0
445	C1	0
446	C1	0
447	C1	0
448	C1	0
449	C1	0
450	C1	0
451	FEM8	0
452	FEM8	0
453	FEM8	0
454	FEM8	0
455	FEM8	0
456	FEM8	0
457	FEM17	0
458	FEM17	0
459	FEM17	0
460	FEM17	0
461	FEM17	0
462	FEM17	0
463	FEM21	0
464	FEM21	0
465	FEM21	0
466	FEM21	0
467	FEM21	0
468	FEM21	0
469	FEM7	0
470	FEM7	0
471	FEM7	0
472	FEM7	0
473	FEM7	0
474	FEM7	0
475	FEM23	0
476	FEM23	0
477	FEM23	0
478	FEM23	0
479	FEM23	0
480	FEM23	0
481	C3	0
482	C3	0
483	C3	0
484	C3	0
485	C3	0
486	C3	0
487	FEM6	0
488	FEM6	0
489	FEM6	0
490	FEM6	0
491	FEM6	0
492	FEM6	0
493	FEM5	0
494	FEM5	0
495	FEM5	0
496	FEM5	0
497	FEM5	0
498	FEM5	0
499	FEM15	0
500	FEM15	0
501	FEM15	0
502	FEM15	0
503	FEM15	0
504	FEM15	0
505	FEM9	0
506	FEM9	0
507	FEM9	0
508	FEM9	0
509	FEM9	0
510	FEM9	0
511	C2	0
512	C2	0
513	C2	0
514	C2	0
515	C2	0
516	C2	0
517	FEM26	0
518	FEM26	0
519	FEM26	0
520	FEM26	0
521	FEM26	0
522	FEM26	0
523	FEM12	0
524	FEM12	0
525	FEM12	0
526	FEM12	0
527	FEM12	0
528	FEM12	0
529	FEM16	0
530	FEM16	0
531	FEM16	0
532	FEM16	0
533	FEM16	0
534	FEM16	0
535	FEM1	0
536	FEM1	0
537	FEM1	0
538	FEM1	0
539	FEM1	0
540	FEM1	0
541	FEM22	0
542	FEM22	0
543	FEM22	0
544	FEM22	0
545	FEM22	0
546	FEM22	0
547	FEM18	0
548	FEM18	0
549	FEM18	0
550	FEM18	0
551	FEM18	0
552	FEM18	0
553	FEM19	0
554	FEM19	0
555	FEM19	0
556	FEM19	0
557	FEM19	0
558	FEM19	0
559	FEM14	0
560	FEM14	0
561	FEM14	0
562	FEM14	0
563	FEM14	0
564	FEM14	0
565	FEM24	0
566	FEM24	0
567	FEM24	0
568	FEM24	0
569	FEM24	0
570	FEM24	0
571	C1	0
572	C1	0
573	C1	0
574	C1	0
575	C1	0
576	C1	0
577	FEM27	0
578	FEM27	0
579	FEM27	0
580	FEM27	0
581	FEM27	0
582	FEM27	0
583	FEM3	0
584	FEM3	0
585	FEM3	0
586	FEM3	0
587	FEM3	0
588	FEM3	0
589	C3	0
590	C3	0
591	C3	0
592	C3	0
593	C3	0
594	C3	0
595	FEM11	0
596	FEM11	0
597	FEM11	0
598	FEM11	0
599	FEM11	0
