IDSORT	Site	Female	Block	HT8	DBH8
1	FE	37	1	NA	NA
2	FE	29	1	33.7	5.9
3	FE	12	1	NA	NA
4	FE	3	1	NA	NA
5	FE	40	1	NA	NA
6	FE	35	1	33.7	5.4
7	FE	15	1	35.5	6
8	FE	5	1	34.7	6.3
9	FE	30	1	34	6.4
10	FE	46	1	NA	NA
11	FE	34	1	36	6.6
12	FE	2	1	36.7	6.1
13	FE	48	1	NA	NA
14	FE	36	1	32	5.8
15	FE	27	1	NA	NA
16	FE	21	1	NA	NA
17	FE	22	1	NA	NA
18	FE	31	1	NA	NA
19	FE	9	1	36.7	6.6
20	FE	44	1	NA	NA
21	FE	26	1	NA	NA
22	FE	19	1	34	5.6
23	FE	32	1	38	5.9
24	FE	20	1	37.3	6.3
25	FE	7	1	NA	NA
26	FE	33	1	33.3	5.6
27	FE	25	1	34.3	6.4
28	FE	10	1	NA	NA
29	FE	47	1	NA	NA
30	FE	6	1	NA	NA
31	FE	45	1	32	6.6
32	FE	41	1	NA	NA
33	FE	11	1	NA	NA
34	FE	14	1	NA	NA
35	FE	17	1	NA	NA
36	FE	4	1	NA	NA
37	FE	13	1	35.3	5.3
38	FE	16	1	36.3	6
39	FE	26	1	NA	NA
40	FE	39	1	32	6.6
41	FE	24	1	35	5.4
42	FE	42	1	35.5	6
43	FE	8	1	NA	NA
44	FE	18	1	31.3	5
45	FE	28	1	31	5.1
46	FE	1	1	34.7	5.7
47	FE	12	2	NA	NA
48	FE	37	2	33.5	6
49	FE	8	2	NA	NA
50	FE	3	2	NA	NA
51	FE	38	2	37	5.9
52	FE	4	2	31	5.7
53	FE	11	2	32.7	6.2
54	FE	10	2	26.7	4.5
55	FE	31	2	NA	NA
56	FE	28	2	34	5.7
57	FE	33	2	33.5	5.6
58	FE	7	2	NA	NA
59	FE	45	2	37.5	7.1
60	FE	6	2	NA	NA
61	FE	16	2	32.3	6.4
62	FE	30	2	32.3	6.5
63	FE	14	2	36	6.8
64	FE	32	2	36.7	7.1
65	FE	26	2	NA	NA
66	FE	46	2	33	6
67	FE	27	2	NA	NA
68	FE	34	2	31.3	5.8
69	FE	2	2	32.5	5.5
70	FE	47	2	31	5.1
71	FE	40	2	32.5	6
72	FE	25	2	NA	NA
73	FE	5	2	NA	NA
74	FE	18	2	35	6.1
75	FE	41	2	NA	NA
76	FE	39	2	35	6.2
77	FE	36	2	NA	NA
78	FE	22	2	NA	NA
79	FE	35	2	NA	NA
80	FE	19	2	NA	NA
81	FE	48	2	34.7	6.4
82	FE	43	2	NA	NA
83	FE	9	2	NA	NA
84	FE	15	2	32.3	5.3
85	FE	24	2	36.7	6.9
86	FE	4	2	NA	NA
87	FE	20	2	37.5	6.1
88	FE	13	2	NA	NA
89	FE	23	2	27	5.5
90	FE	17	2	33.3	5
91	FE	44	2	35.5	7
92	FE	29	2	33	5.9
93	FE	10	2	NA	NA
94	FE	42	2	33.3	6.1
95	FE	21	2	36.5	7
96	FE	1	2	32.5	5.6
97	FE	13	3	35.5	6.4
98	FE	6	3	36.3	7.3
99	FE	37	3	NA	NA
