IDSORT	Rep	female	male	family	ht6
1	1	F5	M14	F5M14	21
2	1	F15	M10	F15M10	19
3	1	F18	M11	F18M11	20.5
4	1	F22	M11	F22M11	21
5	1	F10	M15	F10M15	17
6	1	F17	M6	F17M6	22
7	1	F13	M9	F13M9	21
8	1	F13	M9	F13M9	18
9	1	F18	M11	F18M11	22.5
10	1	F17	M14	F17M14	20.5
11	1	F11	M12	F11M12	24
12	1	F12	M3	F12M3	21
13	1	F7	M1	F7M1	22
14	1	F7	M4	F7M4	24
15	1	F19	M8	F19M8	24
16	1	F20	M14	F20M14	23.5
17	2	F9	M7	F9M7	21
18	2	F20	M14	F20M14	21
19	2	F5	M14	F5M14	24
20	2	F20	M14	F20M14	23
21	2	F17	M6	F17M6	25
22	2	F5	M14	F5M14	22
23	2	F7	M1	F7M1	23
24	2	F15	M10	F15M10	22
25	2	F5	M14	F5M14	24
26	2	F9	M7	F9M7	25
27	2	F3	M13	F3M13	22
28	2	F7	M4	F7M4	25
29	2	F11	M12	F11M12	25
30	2	F6	M5	F6M5	22
31	2	F12	M3	F12M3	17
32	3	F5	M14	F5M14	23.5
33	3	F11	M12	F11M12	23
34	3	F7	M1	F7M1	25
35	3	F8	M4	F8M4	23
36	3	F17	M14	F17M14	22.5
37	3	F9	M7	F9M7	26
38	3	F15	M10	F15M10	22
39	3	F18	M11	F18M11	21
40	3	F7	M4	F7M4	24
41	3	F4	M6	F4M6	22.5
42	3	F19	M8	F19M8	27
43	3	F21	M15	F21M15	21.5
44	3	F18	M11	F18M11	25
45	3	F6	M11	F6M11	26
46	3	F17	M6	F17M6	24
47	3	F22	M11	F22M11	24
48	3	F12	M3	F12M3	22
49	3	F3	M13	F3M13	23
50	3	F20	M14	F20M14	22
51	3	F10	M14	F10M14	24
52	4	F7	M1	F7M1	27
53	4	F20	M14	F20M14	23
54	4	F20	M14	F20M14	26
55	4	F21	M15	F21M15	20
56	4	F12	M3	F12M3	26
57	4	F5	M14	F5M14	25
58	4	F7	M4	F7M4	25
59	4	F4	M6	F4M6	22
60	4	F18	M11	F18M11	23
61	4	F17	M6	F17M6	26
62	4	F10	M14	F10M14	25
63	4	F8	M4	F8M4	22
64	5	F6	M11	F6M11	24
65	5	F17	M6	F17M6	22.5
66	5	F20	M14	F20M14	23
67	5	F7	M1	F7M1	24
68	5	F10	M14	F10M14	23
69	5	F5	M14	F5M14	28
70	5	F21	M15	F21M15	19
71	5	F4	M6	F4M6	25
72	5	F16	M7	F16M7	25
73	5	F22	M11	F22M11	23
74	5	F18	M11	F18M11	21
75	5	F17	M14	F17M14	24
76	5	F8	M4	F8M4	20
77	5	F15	M10	F15M10	25
78	5	F20	M14	F20M14	25
79	5	F13	M9	F13M9	24
80	5	F1	M2	F1M2	22
81	5	F19	M8	F19M8	27
82	5	F7	M4	F7M4	27
83	5	F13	M9	F13M9	22
84	6	F20	M14	F20M14	22
85	6	F17	M6	F17M6	20
86	6	F18	M11	F18M11	21
87	6	F4	M6	F4M6	20
88	6	F19	M8	F19M8	22
89	6	F22	M11	F22M11	18
90	6	F11	M12	F11M12	22
91	6	F7	M1	F7M1	24
92	6	F10	M14	F10M14	23
93	6	F13	M9	F13M9	22
94	6	F21	M15	F21M15	23
95	6	F5	M14	F5M14	24
96	6	F7	M4	F7M4	25
97	6	F12	M3	F12M3	23
98	6	F17	M14	F17M14	23
99	6	F15	M10	F15M10	25
100	6	F6	M11	F6M11	20
101	6	F20	M14	F20M14	23.5
102	7	F13	M9	F13M9	21
103	7	F5	M14	F5M14	22
104	7	F7	M4	F7M4	21
105	7	F18	M11	F18M11	24
106	7	F8	M4	F8M4	23
107	7	F21	M15	F21M15	24
108	7	F7	M1	F7M1	25
109	7	F10	M14	F10M14	24
110	7	F15	M10	F15M10	20
111	7	F11	M12	F11M12	20
112	7	F13	M9	F13M9	23
113	7	F18	M11	F18M11	22
114	7	F5	M14	F5M14	20
115	7	F4	M6	F4M6	24
116	8	F10	M14	F10M14	23
117	8	F5	M14	F5M14	25
118	8	F17	M6	F17M6	22
119	8	F9	M7	F9M7	29
120	8	F13	M9	F13M9	23
121	8	F4	M6	F4M6	24
122	8	F15	M10	F15M10	25
123	8	F16	M7	F16M7	24
124	8	F8	M4	F8M4	27
125	8	F22	M11	F22M11	23
126	8	F21	M15	F21M15	25
127	8	F12	M3	F12M3	24
128	8	F7	M4	F7M4	23
129	8	F4	M6	F4M6	24
130	8	F11	M12	F11M12	25
131	8	F18	M11	F18M11	21
132	8	F6	M11	F6M11	23
133	8	F7	M1	F7M1	23
