INDIV	Male	Female	FAM	Pop	WT1	WT2	WT3
1	13	10013	13-10013	1	16.0	15.4	15.9
2	52	10052	52-10052	1	14.9	15.0	15.7
3	34	10034	34-10034	1	15.0	14.8	16.0
4	3	1003	3-1003	1	15.0	15.2	16.4
5	56	10056	56-10056	1	15.9	15.3	16.6
6	35	10035	35-10035	1	16.1	16.3	17.1
7	8	1008	8-1008	1	15.2	15.2	16.2
8	10	10010	10-10010	1	13.5	13.5	14.1
9	11	10011	11-10011	1	14.5	14.2	15.6
10	61	10061	61-10061	1	20.0	19.1	21.2
11	17	10017	17-10017	1	15.2	15.0	16.0
12	232	10232	232-10232	1	15.7	16.0	17.3
13	57	10057	57-10057	1	15.7	15.7	16.1
14	5	1005	5-1005	1	16.0	16.3	16.6
15	14	10014	14-10014	1	15.0	16.0	16.5
16	51	10051	51-10051	1	15.0	14.0	15.6
17	30	10030	30-10030	1	16.0	15.7	16.1
18	11	10011	11-10011	1	14.0	14.0	14.4
19	30	10030	30-10030	1	14.5	14.6	14.8
20	11	10011	11-10011	1	14.5	15.2	16.2
21	11	10011	11-10011	1	15.5	15.7	16.3
22	11	10011	11-10011	1	14.4	14.5	14.7
23	11	10011	11-10011	1	15.5	13.9	14.8
24	17	10017	17-10017	1	16.2	16.5	17.8
25	13	10013	13-10013	1	17.4	17.0	17.7
26	11	10011	11-10011	1	15.0	13.6	14.3
27	3	1003	3-1003	1	17.0	16.6	17.2
28	11	10011	11-10011	1	14.0	14.2	14.2
29	50	10050	50-10050	1	17.5	17.3	17.5
30	8	1008	8-1008	1	12.9	14.0	13.7
31	14	10014	14-10014	1	14.5	14.7	15.7
32	59	10059	59-10059	1	17.0	17.2	18.2
33	34	10034	34-10034	1	14.9	15.5	16.0
34	51	10051	51-10051	1	16.6	15.3	17.2
35	11	10011	11-10011	1	13.0	12.8	13.5
36	30	10030	30-10030	1	15.2	16.5	17.3
37	3	1003	3-1003	1	15.2	15.7	15.9
38	46	10046	46-10046	1	17.0	15.9	17.6
39	10	10010	10-10010	1	15.0	18.2	18.0
40	26	10026	26-10026	1	12.5	15.7	14.5
41	57	10057	57-10057	1	13.5	15.8	15.6
42	56	10056	56-10056	1	16.8	17.5	18.0
43	59	10059	59-10059	1	16.4	18.1	17.9
44	26	10026	26-10026	1	16.7	17.0	17.4
45	21	10021	21-10021	1	15.0	17.2	16.3
46	46	10046	46-10046	1	17.0	17.8	18.7
47	35	10035	35-10035	1	15.2	16.4	16.7
48	5	1005	5-1005	1	16.4	16.6	17.1
49	35	10035	35-10035	1	13.9	16.5	16.7
50	39	10039	39-10039	1	16.2	16.9	18.1
51	46	10046	46-10046	1	18.0	19.0	19.4
